 mchi1pm   dm(chi1pm-chi10)            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     100              0.159     0.02279028     0.01268396     0.01796066     0.02705691     0.04194317     0.06258634
     100              0.259     0.46456197     0.17826215     0.24720047     0.36803546     0.56899838     0.85909238
     100              0.359     5.58136998     2.02360651     3.18759155     5.56903092    10.58691697    16.88669468
     100              0.409    31.37685297    10.71205472    18.97316825    40.92591207    82.35642967   124.11373944
     100              0.459   192.17745751    31.42439090    60.04909254   157.74976359   317.45930966   478.41599004
     100              0.559     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              0.759     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              0.959     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              1.259     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              1.759     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              3.259     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              4.259     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              5.259     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              0.168     0.02415906     0.01334070     0.01880471     0.02822320     0.04352501     0.06483917
     115              0.268     0.44283909     0.17503719     0.24307020     0.36431384     0.56907904     0.87210489
     115              0.368     8.96026816     2.54440907     3.81442016     6.51237116    12.37767277    19.74329835
     115              0.418    32.16332633     9.74787250    17.58223065    38.39824239    77.26759319   116.44520009
     115              0.468     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              0.568     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              0.768     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              0.968     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              1.268     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              1.768     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              3.268     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              4.268     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
