 mchi1pm   dm(chi1pm-chi10)            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     100              0.159     0.15979300     0.07963234     0.11046706     0.16181023     0.24372395     0.35721685
     100              0.259   634.18997134   193.81904317   274.77946504   424.08578584   691.16212007  1125.94957087
     100              0.459     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              0.559     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              0.759     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              0.959     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              1.259     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              1.759     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              3.259     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              4.259     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     100              5.259     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              0.168     0.27642431     0.13407956     0.18406859     0.27024073     0.40921818     0.60259275
     115              0.268  1338.83079438   395.56364379   564.95648094   888.37132373  1476.22720673  2443.02114026
     115              0.468     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              0.568     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              0.768     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              0.968     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              1.268     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              1.768     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              3.268     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              4.268     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     115              5.268     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     140              0.179     0.48381044     0.20591119     0.28471779     0.42515351     0.65558522     0.99909107
