# Contour T5btbtLL_ctau10, ExpMinus2
#       mg     mchi10
    1150.2        0.0
    1175.0       10.1
    1200.0       20.2
    1212.5       25.0
    1225.0       31.2
    1250.0       42.5
    1268.3       50.0
    1275.0       53.7
    1300.0       65.1
    1325.0       74.0
    1329.0       75.0
    1350.0       82.9
    1375.0       89.1
    1400.0       92.6
    1425.0       94.0
    1450.0       93.1
    1475.0       90.5
    1500.0       85.8
    1525.0       78.7
    1536.5       75.0
    1550.0       71.9
    1575.0       66.5
    1600.0       61.6
    1625.0       58.9
    1650.0       58.0
    1675.0       59.2
    1700.0       63.3
    1725.0       69.9
    1743.4       75.0
    1750.0       78.4
    1775.0       89.3
    1800.0       98.0
    1806.8      100.0
    1825.0      110.3
    1850.0      122.1
    1857.0      125.0
    1875.0      138.5
    1892.0      150.0
    1900.0      159.3
    1916.2      175.0
    1925.0      189.7
    1932.0      200.0
    1940.8      225.0
    1943.8      250.0
    1942.3      275.0
    1936.9      300.0
    1928.2      325.0
    1925.0      332.0
    1917.4      350.0
    1904.9      375.0
    1900.0      383.9
    1892.3      400.0
    1879.4      425.0
    1875.0      433.2
    1866.8      450.0
    1854.1      475.0
    1850.0      482.6
    1841.9      500.0
    1829.4      525.0
    1825.0      533.2
    1817.2      550.0
    1805.1      575.0
    1800.0      585.1
    1793.7      600.0
    1783.2      625.0
    1775.0      644.5
    1773.0      650.0
    1763.5      675.0
    1753.7      700.0
    1750.0      709.1
    1744.4      725.0
    1735.1      750.0
    1725.3      775.0
    1725.0      775.8
    1716.1      800.0
    1706.1      825.0
    1700.0      839.1
    1695.9      850.0
    1685.9      875.0
    1675.0      899.9
    1675.0      900.0
    1664.6      925.0
    1652.8      950.0
    1650.0      955.2
    1640.4      975.0
    1625.5     1000.0
    1625.0     1000.7
    1609.4     1025.0
    1600.0     1036.5
    1589.1     1050.0
    1575.0     1063.1
    1563.0     1075.0
    1550.0     1084.5
    1525.0     1099.8
    1524.6     1100.0
    1500.0     1110.5
    1475.0     1119.9
    1459.6     1125.0
    1450.0     1127.5
    1425.0     1133.6
    1400.0     1141.5
    1376.5     1150.0
    1375.0     1150.5
    1350.0     1162.9
    1333.7     1175.0
    1325.0     1181.6
    1309.3     1200.0
    1300.0     1211.0
    1291.5     1225.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
