# Contour T5btbtLL_ctau10, ExpPlus
#       mg     mchi10
    1722.8        0.0
    1725.0        0.8
    1750.0       11.4
    1775.0       20.8
    1790.0       25.0
    1800.0       29.1
    1825.0       36.4
    1850.0       42.1
    1875.0       47.6
    1884.6       50.0
    1900.0       56.8
    1925.0       67.7
    1945.4       75.0
    1950.0       77.8
    1975.0       89.0
    2000.0       96.4
    2016.5      100.0
    2025.0      103.9
    2050.0      112.5
    2075.0      120.0
    2091.6      125.0
    2100.0      129.9
    2125.0      144.1
    2136.1      150.0
    2150.0      163.3
    2163.8      175.0
    2175.0      192.1
    2180.9      200.0
    2190.6      225.0
    2194.1      250.0
    2192.9      275.0
    2187.7      300.0
    2178.9      325.0
    2175.0      333.5
    2168.4      350.0
    2156.9      375.0
    2150.0      388.8
    2145.2      400.0
    2134.0      425.0
    2125.0      444.7
    2122.9      450.0
    2112.4      475.0
    2101.7      500.0
    2100.0      503.9
    2091.8      525.0
    2081.9      550.0
    2075.0      567.4
    2072.4      575.0
    2064.0      600.0
    2056.0      625.0
    2050.0      645.5
    2048.8      650.0
    2042.9      675.0
    2037.1      700.0
    2031.4      725.0
    2025.8      750.0
    2025.0      753.7
    2021.0      775.0
    2016.5      800.0
    2012.5      825.0
    2008.8      850.0
    2005.3      875.0
    2001.9      900.0
    2000.0      914.3
    1998.7      925.0
    1995.6      950.0
    1992.2      975.0
    1988.3     1000.0
    1983.6     1025.0
    1978.1     1050.0
    1975.0     1061.5
    1971.8     1075.0
    1964.7     1100.0
    1955.9     1125.0
    1950.0     1138.9
    1946.0     1150.0
    1935.2     1175.0
    1925.0     1194.7
    1922.4     1200.0
    1908.4     1225.0
    1900.0     1237.6
    1893.0     1250.0
    1875.7     1275.0
    1875.0     1275.8
    1854.7     1300.0
    1850.0     1304.3
    1826.7     1325.0
    1825.0     1326.2
    1800.0     1342.3
    1786.7     1350.0
    1775.0     1354.9
    1750.0     1363.8
    1725.0     1371.3
    1710.3     1375.0
    1700.0     1377.0
    1675.0     1382.3
    1650.0     1388.0
    1625.0     1395.5
    1615.3     1400.0
    1600.0     1407.1
    1575.0     1424.8
    1574.9     1425.0
    1553.0     1450.0
    1550.0     1453.5
    1535.7     1475.0
    1525.0     1500.0
    1500.0     1475.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
