# Contour T5btbtLL_ctau10, ExpPlus2
#       mg     mchi10
    1773.9        0.0
    1775.0        0.6
    1800.0       11.2
    1825.0       18.0
    1850.0       23.2
    1858.9       25.0
    1875.0       30.1
    1900.0       39.3
    1925.0       48.6
    1929.0       50.0
    1950.0       61.4
    1975.0       70.2
    1996.9       75.0
    2000.0       76.3
    2025.0       84.1
    2050.0       89.6
    2075.0       94.1
    2100.0       99.1
    2103.9      100.0
    2125.0      109.3
    2150.0      120.0
    2163.4      125.0
    2175.0      132.9
    2200.0      147.9
    2204.1      150.0
    2225.0      169.5
    2231.7      175.0
    2249.1      200.0
    2250.0      202.5
    2259.5      225.0
    2263.5      250.0
    2262.4      275.0
    2257.3      300.0
    2250.0      321.2
    2248.8      325.0
    2238.7      350.0
    2226.4      375.0
    2225.0      377.5
    2214.5      400.0
    2202.9      425.0
    2200.0      431.3
    2192.7      450.0
    2182.7      475.0
    2175.0      493.7
    2172.7      500.0
    2163.5      525.0
    2154.0      550.0
    2150.0      561.0
    2145.5      575.0
    2137.9      600.0
    2131.0      625.0
    2125.0      648.5
    2124.7      650.0
    2119.5      675.0
    2114.8      700.0
    2110.2      725.0
    2106.0      750.0
    2102.0      775.0
    2100.0      788.8
    2098.6      800.0
    2095.6      825.0
    2093.0      850.0
    2090.5      875.0
    2088.1      900.0
    2085.6      925.0
    2083.0      950.0
    2080.1      975.0
    2076.8     1000.0
    2075.0     1011.9
    2073.2     1025.0
    2069.4     1050.0
    2064.8     1075.0
    2059.6     1100.0
    2053.5     1125.0
    2050.0     1137.5
    2046.8     1150.0
    2039.4     1175.0
    2030.6     1200.0
    2025.0     1213.5
    2020.7     1225.0
    2010.0     1250.0
    2000.0     1270.7
    1998.0     1275.0
    1985.3     1300.0
    1975.0     1317.2
    1970.6     1325.0
    1953.3     1350.0
    1950.0     1353.8
    1933.0     1375.0
    1925.0     1382.6
    1904.2     1400.0
    1900.0     1402.7
    1875.0     1419.1
    1864.2     1425.0
    1850.0     1430.8
    1825.0     1439.3
    1800.0     1445.7
    1776.8     1450.0
    1775.0     1450.3
    1750.0     1453.0
    1725.0     1456.3
    1700.0     1461.0
    1675.0     1470.0
    1666.2     1475.0
    1650.0     1484.8
    1633.3     1500.0
    1625.0     1508.5
    1613.4     1525.0
    1600.0     1545.7
    1575.0     1550.0
    1550.0     1525.0
    1525.0     1500.0
    1500.0     1475.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
