# Contour T5btbtLL_ctau10, Obs
#       mg     mchi10
    1322.7        0.0
    1325.0        1.7
    1350.0       17.1
    1368.2       25.0
    1375.0       28.3
    1400.0       35.0
    1425.0       37.2
    1450.0       35.9
    1475.0       32.7
    1500.0       28.4
    1518.1       25.0
    1525.0       23.9
    1550.0       20.7
    1575.0       18.2
    1600.0       15.8
    1625.0       13.3
    1650.0       11.5
    1675.0       11.7
    1700.0       14.9
    1725.0       20.9
    1739.1       25.0
    1750.0       29.9
    1775.0       39.5
    1800.0       46.2
    1819.1       50.0
    1825.0       52.3
    1850.0       60.0
    1875.0       67.0
    1900.0       74.4
    1902.0       75.0
    1925.0       87.4
    1950.0       97.8
    1957.5      100.0
    1975.0      109.5
    2000.0      119.2
    2019.3      125.0
    2025.0      128.4
    2050.0      140.6
    2071.9      150.0
    2075.0      152.6
    2100.0      172.0
    2104.1      175.0
    2122.0      200.0
    2125.0      208.7
    2131.3      225.0
    2134.5      250.0
    2132.8      275.0
    2127.1      300.0
    2125.0      305.7
    2118.9      325.0
    2108.6      350.0
    2100.0      367.8
    2096.9      375.0
    2085.1      400.0
    2075.0      420.5
    2073.0      425.0
    2062.0      450.0
    2050.9      475.0
    2050.0      477.1
    2041.0      500.0
    2030.8      525.0
    2025.0      538.6
    2020.9      550.0
    2011.6      575.0
    2002.7      600.0
    2000.0      608.4
    1995.3      625.0
    1988.8      650.0
    1982.6      675.0
    1976.4      700.0
    1975.0      705.8
    1970.9      725.0
    1965.5      750.0
    1960.1      775.0
    1954.8      800.0
    1950.0      823.3
    1949.7      825.0
    1945.5      850.0
    1941.5      875.0
    1937.6      900.0
    1933.8      925.0
    1930.0      950.0
    1925.9      975.0
    1925.0      979.6
    1921.4     1000.0
    1916.1     1025.0
    1909.5     1050.0
    1901.1     1075.0
    1900.0     1077.5
    1891.8     1100.0
    1880.0     1125.0
    1875.0     1133.4
    1865.8     1150.0
    1850.0     1172.9
    1848.7     1175.0
    1829.5     1200.0
    1825.0     1204.8
    1807.4     1225.0
    1800.0     1231.7
    1780.3     1250.0
    1775.0     1253.7
    1750.0     1270.1
    1742.2     1275.0
    1725.0     1282.8
    1700.0     1292.1
    1675.0     1299.8
    1674.2     1300.0
    1650.0     1305.2
    1625.0     1310.8
    1600.0     1318.1
    1581.5     1325.0
    1575.0     1327.1
    1550.0     1340.0
    1534.9     1350.0
    1525.0     1356.3
    1503.5     1375.0
    1500.0     1378.1
    1481.5     1400.0
    1475.0     1407.8
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
