# Contour T5btbtLL_ctau10, ObsPlus
#       mg     mchi10
    1339.9        0.0
    1350.0        6.9
    1375.0       19.2
    1396.1       25.0
    1400.0       26.2
    1425.0       28.7
    1450.0       27.1
    1465.1       25.0
    1475.0       23.7
    1500.0       20.2
    1525.0       16.6
    1550.0       13.4
    1575.0       11.1
    1600.0        8.7
    1625.0        5.8
    1650.0        3.5
    1675.0        3.6
    1700.0        7.3
    1725.0       14.1
    1750.0       22.3
    1759.0       25.0
    1775.0       32.0
    1800.0       40.1
    1825.0       45.7
    1848.9       50.0
    1850.0       50.4
    1875.0       58.5
    1900.0       67.2
    1923.0       75.0
    1925.0       76.2
    1950.0       89.2
    1975.0       97.6
    1985.6      100.0
    2000.0      106.6
    2025.0      115.4
    2050.0      122.3
    2061.7      125.0
    2075.0      131.4
    2100.0      143.1
    2114.5      150.0
    2125.0      159.3
    2143.8      175.0
    2150.0      184.6
    2161.1      200.0
    2170.2      225.0
    2173.2      250.0
    2171.7      275.0
    2166.2      300.0
    2157.5      325.0
    2150.0      341.5
    2146.6      350.0
    2135.2      375.0
    2125.0      395.7
    2123.1      400.0
    2111.8      425.0
    2100.1      450.0
    2100.0      450.3
    2089.5      475.0
    2078.7      500.0
    2075.0      508.2
    2068.4      525.0
    2058.4      550.0
    2050.0      570.7
    2048.5      575.0
    2040.0      600.0
    2032.1      625.0
    2025.0      649.7
    2024.9      650.0
    2019.1      675.0
    2013.5      700.0
    2007.8      725.0
    2002.2      750.0
    2000.0      759.6
    1996.9      775.0
    1992.1      800.0
    1987.6      825.0
    1983.3      850.0
    1979.1      875.0
    1975.0      900.0
    1975.0      900.1
    1971.5      925.0
    1968.0      950.0
    1964.1      975.0
    1959.7     1000.0
    1954.6     1025.0
    1950.0     1043.4
    1948.6     1050.0
    1942.2     1075.0
    1934.1     1100.0
    1925.0     1121.8
    1923.7     1125.0
    1911.4     1150.0
    1900.0     1168.5
    1896.5     1175.0
    1880.4     1200.0
    1875.0     1207.1
    1861.8     1225.0
    1850.0     1238.0
    1839.5     1250.0
    1825.0     1262.9
    1811.5     1275.0
    1800.0     1282.7
    1775.0     1298.3
    1772.0     1300.0
    1750.0     1309.1
    1725.0     1318.1
    1700.0     1324.9
    1699.7     1325.0
    1675.0     1330.0
    1650.0     1334.6
    1625.0     1340.0
    1600.0     1347.9
    1595.3     1350.0
    1575.0     1358.1
    1550.0     1374.1
    1548.9     1375.0
    1525.0     1394.7
    1520.1     1400.0
    1500.0     1422.5
    1498.3     1425.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
