      mg     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1000        1     0.36455811     0.13396770     0.22782412     0.43411066     0.87019725     1.31675623
    1000      200     0.00111681     0.00058276     0.00081804     0.00122293     0.00189093     0.00284074
    1000      400     0.00203008     0.00101722     0.00147366     0.00228511     0.00365154     0.00563526
    1000      600     0.00450212     0.00203784     0.00298911     0.00474403     0.00773314     0.01228446
    1000      800     0.01646754     0.00801300     0.01183962     0.01916580     0.03215013     0.05236252
    1100      800     0.00805512     0.00341932     0.00501625     0.00795648     0.01309485     0.02099028
    1100      900     0.01685299     0.00797406     0.01173488     0.01891720     0.03172660     0.05208591
    1200        1     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1200      200     0.00086788     0.00045360     0.00063293     0.00095227     0.00147972     0.00224275
    1200      400     0.00138234     0.00074275     0.00105540     0.00161167     0.00253059     0.00384547
    1200      600     0.00219771     0.00102465     0.00152681     0.00245183     0.00407419     0.00647927
    1200      800     0.00443094     0.00207630     0.00307683     0.00492369     0.00825629     0.01328906
    1200      900     0.00767397     0.00341427     0.00497972     0.00786907     0.01295098     0.02084328
    1200     1000     0.01329472     0.00636519     0.00946248     0.01538146     0.02605136     0.04320457
    1300      800     0.00287293     0.00133748     0.00199816     0.00325967     0.00552026     0.00895258
    1300      900     0.00414205     0.00197932     0.00293841     0.00477635     0.00808923     0.01311777
    1300     1000     0.00692354     0.00305329     0.00450463     0.00717455     0.01192564     0.01942424
    1300     1100     0.02052507     0.00959630     0.01396525     0.02215222     0.03679651     0.06042213
    1400        1     0.47807328     0.17414863     0.28405907     0.54398241     1.09464856     1.64958488
    1400      200     0.00073924     0.00038861     0.00054454     0.00082238     0.00128112     0.00193855
    1400      400     0.00117656     0.00063000     0.00088689     0.00134465     0.00208968     0.00316731
    1400      600     0.00156536     0.00078472     0.00115056     0.00182648     0.00297567     0.00466751
    1400      800     0.00206828     0.00094877     0.00144167     0.00238239     0.00407373     0.00662687
