# Contour T5btbtLL_ctau200, Exp
#       mg     mchi10
    1000.0       70.8
    1016.1       75.0
    1025.0       78.9
    1050.0       86.5
    1075.0       92.3
    1100.0       96.9
    1123.1      100.0
    1125.0      100.6
    1150.0      106.1
    1175.0      110.0
    1200.0      112.6
    1225.0      114.2
    1250.0      114.9
    1275.0      115.0
    1300.0      114.4
    1325.0      113.4
    1350.0      112.0
    1375.0      110.6
    1400.0      109.4
    1425.0      108.7
    1450.0      108.0
    1475.0      107.5
    1500.0      106.8
    1525.0      105.3
    1550.0      103.2
    1575.0      101.6
    1600.0      100.9
    1625.0      102.8
    1650.0      106.7
    1675.0      112.2
    1700.0      119.0
    1721.6      125.0
    1725.0      126.7
    1750.0      138.4
    1775.0      148.2
    1780.5      150.0
    1800.0      161.1
    1825.0      173.0
    1829.9      175.0
    1850.0      188.0
    1871.3      200.0
    1875.0      203.1
    1900.0      222.4
    1903.9      225.0
    1925.0      245.0
    1930.7      250.0
    1950.0      273.1
    1951.8      275.0
    1970.0      300.0
    1975.0      308.9
    1985.2      325.0
    1998.0      350.0
    2000.0      354.7
    2009.9      375.0
    2021.0      400.0
    2025.0      409.5
    2032.6      425.0
    2043.8      450.0
    2050.0      465.1
    2054.6      475.0
    2065.1      500.0
    2074.5      525.0
    2075.0      526.4
    2084.2      550.0
    2093.3      575.0
    2100.0      594.8
    2102.0      600.0
    2110.9      625.0
    2119.4      650.0
    2125.0      667.7
    2127.6      675.0
    2136.0      700.0
    2143.7      725.0
    2150.0      747.3
    2150.9      750.0
    2158.3      775.0
    2165.2      800.0
    2171.6      825.0
    2175.0      839.3
    2177.9      850.0
    2184.2      875.0
    2189.9      900.0
    2195.2      925.0
    2200.0      949.9
    2200.0      950.0
    2205.1      975.0
    2209.7     1000.0
    2214.0     1025.0
    2217.9     1050.0
    2221.5     1075.0
    2224.7     1100.0
    2225.0     1102.7
    2227.9     1125.0
    2230.7     1150.0
    2233.2     1175.0
    2235.2     1200.0
    2237.0     1225.0
    2238.4     1250.0
    2239.5     1275.0
    2240.5     1300.0
    2241.4     1325.0
    2242.2     1350.0
    2242.8     1375.0
    2243.4     1400.0
    2243.8     1425.0
    2243.9     1450.0
    2243.8     1475.0
    2243.4     1500.0
    2242.4     1525.0
    2240.8     1550.0
    2238.3     1575.0
    2234.7     1600.0
    2229.7     1625.0
    2225.0     1642.5
    2223.1     1650.0
    2214.9     1675.0
    2203.5     1700.0
    2200.0     1705.9
    2188.4     1725.0
    2175.0     1740.9
    2167.0     1750.0
    2150.0     1764.2
    2136.1     1775.0
    2125.0     1781.4
    2100.0     1795.1
    2090.8     1800.0
    2075.0     1807.0
    2050.0     1820.0
    2042.9     1825.0
    2025.0     1838.3
    2014.8     1850.0
    2000.0     1869.1
    1996.7     1875.0
    1983.8     1900.0
    1975.0     1918.7
    1950.0     1925.0
    1925.0     1900.0
    1900.0     1875.0
    1875.0     1850.0
    1850.0     1825.0
    1825.0     1800.0
    1800.0     1775.0
    1775.0     1750.0
    1750.0     1725.0
    1725.0     1700.0
    1700.0     1675.0
    1675.0     1650.0
    1650.0     1625.0
    1625.0     1600.0
    1600.0     1575.0
    1575.0     1550.0
    1550.0     1525.0
    1525.0     1500.0
    1500.0     1475.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
