# Contour T5btbtLL_ctau200, ExpMinus
#       mg     mchi10
    1000.0       94.1
    1025.0       99.4
    1029.2      100.0
    1050.0      106.4
    1075.0      112.6
    1100.0      117.5
    1125.0      121.1
    1150.0      123.8
    1165.8      125.0
    1175.0      126.7
    1200.0      129.9
    1225.0      132.2
    1250.0      133.9
    1275.0      135.1
    1300.0      135.4
    1325.0      135.1
    1350.0      134.2
    1375.0      133.3
    1400.0      132.5
    1425.0      132.3
    1450.0      132.2
    1475.0      132.1
    1500.0      131.7
    1525.0      130.4
    1550.0      128.5
    1575.0      127.2
    1600.0      127.0
    1625.0      129.7
    1650.0      134.7
    1675.0      141.5
    1700.0      149.3
    1702.4      150.0
    1725.0      162.0
    1750.0      174.2
    1751.8      175.0
    1775.0      190.7
    1790.9      200.0
    1800.0      207.9
    1823.3      225.0
    1825.0      226.8
    1850.0      249.4
    1850.8      250.0
    1873.3      275.0
    1875.0      277.6
    1891.4      300.0
    1900.0      315.4
    1906.2      325.0
    1919.0      350.0
    1925.0      364.2
    1929.9      375.0
    1939.8      400.0
    1948.9      425.0
    1950.0      428.2
    1958.7      450.0
    1968.1      475.0
    1975.0      495.3
    1976.8      500.0
    1985.6      525.0
    1993.5      550.0
    2000.0      572.1
    2001.0      575.0
    2008.8      600.0
    2016.5      625.0
    2023.8      650.0
    2025.0      654.3
    2031.6      675.0
    2038.9      700.0
    2045.7      725.0
    2050.0      742.5
    2052.1      750.0
    2058.7      775.0
    2064.7      800.0
    2070.2      825.0
    2075.0      848.1
    2075.4      850.0
    2080.8      875.0
    2085.8      900.0
    2090.4      925.0
    2094.6      950.0
    2098.5      975.0
    2100.0      985.9
    2102.3     1000.0
    2105.9     1025.0
    2109.2     1050.0
    2112.3     1075.0
    2115.0     1100.0
    2117.5     1125.0
    2119.6     1150.0
    2121.4     1175.0
    2123.0     1200.0
    2124.2     1225.0
    2125.0     1248.2
    2125.1     1250.0
    2125.8     1275.0
    2126.2     1300.0
    2126.4     1325.0
    2126.3     1350.0
    2125.9     1375.0
    2125.1     1400.0
    2125.0     1402.6
    2124.1     1425.0
    2122.6     1450.0
    2120.3     1475.0
    2117.1     1500.0
    2112.5     1525.0
    2106.1     1550.0
    2100.0     1567.4
    2097.4     1575.0
    2085.6     1600.0
    2075.0     1615.6
    2068.6     1625.0
    2050.0     1644.6
    2044.8     1650.0
    2025.0     1665.2
    2011.9     1675.0
    2000.0     1681.9
    1975.0     1695.9
    1968.7     1700.0
    1950.0     1710.6
    1932.4     1725.0
    1925.0     1731.1
    1907.9     1750.0
    1900.0     1759.4
    1890.9     1775.0
    1877.4     1800.0
    1875.0     1804.8
    1850.0     1825.0
    1825.0     1800.0
    1800.0     1775.0
    1775.0     1750.0
    1750.0     1725.0
    1725.0     1700.0
    1700.0     1675.0
    1675.0     1650.0
    1650.0     1625.0
    1625.0     1600.0
    1600.0     1575.0
    1575.0     1550.0
    1550.0     1525.0
    1525.0     1500.0
    1500.0     1475.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
