# Contour T5btbtLL_ctau200, ObsMinus
#       mg     mchi10
    1000.0       86.4
    1025.0       94.0
    1050.0       99.5
    1053.0      100.0
    1075.0      108.2
    1100.0      115.5
    1125.0      120.9
    1149.8      125.0
    1150.0      125.1
    1175.0      132.7
    1200.0      138.7
    1225.0      143.6
    1250.0      147.7
    1268.0      150.0
    1275.0      152.2
    1300.0      157.8
    1325.0      161.3
    1350.0      163.1
    1375.0      163.6
    1400.0      163.2
    1425.0      162.4
    1450.0      160.3
    1475.0      156.5
    1499.7      150.0
    1500.0      150.0
    1525.0      144.5
    1550.0      136.0
    1574.5      125.0
    1575.0      124.8
    1600.0      118.5
    1625.0      114.1
    1650.0      112.8
    1675.0      114.7
    1700.0      119.3
    1724.0      125.0
    1725.0      125.4
    1750.0      136.6
    1775.0      146.5
    1785.3      150.0
    1800.0      158.7
    1825.0      171.2
    1834.1      175.0
    1850.0      185.6
    1874.7      200.0
    1875.0      200.3
    1900.0      219.9
    1907.6      225.0
    1925.0      241.7
    1934.5      250.0
    1950.0      268.6
    1956.2      275.0
    1974.4      300.0
    1975.0      301.0
    1990.2      325.0
    2000.0      344.3
    2003.3      350.0
    2015.3      375.0
    2025.0      397.3
    2026.4      400.0
    2038.2      425.0
    2049.1      450.0
    2050.0      452.2
    2060.2      475.0
    2070.3      500.0
    2075.0      513.1
    2079.9      525.0
    2089.2      550.0
    2097.8      575.0
    2100.0      581.9
    2106.5      600.0
    2115.1      625.0
    2123.1      650.0
    2125.0      656.3
    2131.4      675.0
    2139.3      700.0
    2146.7      725.0
    2150.0      737.4
    2153.9      750.0
    2160.9      775.0
    2167.5      800.0
    2173.6      825.0
    2175.0      831.4
    2179.8      850.0
    2185.7      875.0
    2191.1      900.0
    2196.1      925.0
    2200.0      946.2
    2200.8      950.0
    2205.6      975.0
    2210.0     1000.0
    2214.1     1025.0
    2217.9     1050.0
    2221.3     1075.0
    2224.4     1100.0
    2225.0     1105.0
    2227.5     1125.0
    2230.3     1150.0
    2232.7     1175.0
    2234.8     1200.0
    2236.6     1225.0
    2238.0     1250.0
    2239.3     1275.0
    2240.4     1300.0
    2241.3     1325.0
    2242.2     1350.0
    2242.9     1375.0
    2243.4     1400.0
    2243.7     1425.0
    2243.8     1450.0
    2243.6     1475.0
    2242.9     1500.0
    2241.8     1525.0
    2240.0     1550.0
    2237.3     1575.0
    2233.5     1600.0
    2228.2     1625.0
    2225.0     1636.2
    2221.4     1650.0
    2212.6     1675.0
    2200.7     1700.0
    2200.0     1701.1
    2185.1     1725.0
    2175.0     1736.7
    2163.1     1750.0
    2150.0     1760.8
    2131.7     1775.0
    2125.0     1779.0
    2100.0     1793.4
    2088.5     1800.0
    2075.0     1806.5
    2050.0     1821.1
    2045.0     1825.0
    2025.0     1841.5
    2018.1     1850.0
    2000.0     1875.0
    2000.0     1875.1
    1987.6     1900.0
    1976.2     1925.0
    1975.0     1950.0
    1950.0     1925.0
    1925.0     1900.0
    1900.0     1875.0
    1875.0     1850.0
    1850.0     1825.0
    1825.0     1800.0
    1800.0     1775.0
    1775.0     1750.0
    1750.0     1725.0
    1725.0     1700.0
    1700.0     1675.0
    1675.0     1650.0
    1650.0     1625.0
    1625.0     1600.0
    1600.0     1575.0
    1575.0     1550.0
    1550.0     1525.0
    1525.0     1500.0
    1500.0     1475.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
