      mg   mchi10            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1000        1    26.24627423     6.15637835    10.11907576    21.30106909    42.86598296    64.59925494
    1000      200     0.00113000     0.00061199     0.00090461     0.00142492     0.00232266     0.00362686
    1000      400     0.00051509     0.00025241     0.00039178     0.00065831     0.00113615     0.00187411
    1000      600     0.00049778     0.00023976     0.00036995     0.00062679     0.00110218     0.00184385
    1000      800     0.00131441     0.00062552     0.00096509     0.00163449     0.00287254     0.00483847
    1100      800     0.00060707     0.00028400     0.00044029     0.00074878     0.00132203     0.00222476
    1100      900     0.00120253     0.00058133     0.00089730     0.00152004     0.00267196     0.00448650
    1200        1    96.74299995     8.78031162    17.27416245    52.27044282   105.19070945   158.52432554
    1200      200     0.00139195     0.00075856     0.00109839     0.00170372     0.00272247     0.00423958
    1200      400     0.00053922     0.00026680     0.00040989     0.00068356     0.00117405     0.00191571
    1200      600     0.00037835     0.00018179     0.00028602     0.00048505     0.00085232     0.00142108
    1200      800     0.00041319     0.00019508     0.00030414     0.00052021     0.00091394     0.00153450
    1200      900     0.00054677     0.00025613     0.00039740     0.00067672     0.00119437     0.00201021
    1200     1000     0.00118637     0.00055814     0.00086101     0.00146015     0.00256452     0.00430638
    1300      800     0.00035419     0.00016661     0.00026000     0.00044441     0.00078119     0.00131148
    1300      900     0.00042683     0.00020058     0.00031109     0.00052948     0.00093012     0.00155649
    1300     1000     0.00056783     0.00026510     0.00041121     0.00070010     0.00123583     0.00207263
    1300     1100     0.00098676     0.00047263     0.00073371     0.00124918     0.00221452     0.00373550
    1400      200     0.00143947     0.00078309     0.00112301     0.00172844     0.00276228     0.00426209
    1400      400     0.00055928     0.00028055     0.00043059     0.00071785     0.00122102     0.00197973
    1400      600     0.00037194     0.00018223     0.00028457     0.00048057     0.00083677     0.00137796
    1400      800     0.00032561     0.00015674     0.00024655     0.00041820     0.00073479     0.00122997
    1400      900     0.00033758     0.00016198     0.00025281     0.00043257     0.00075994     0.00126707
    1400     1000     0.00038160     0.00017927     0.00027967     0.00047790     0.00083952     0.00140961
    1400     1100     0.00049684     0.00023026     0.00035877     0.00061340     0.00108779     0.00182301
    1400     1200     0.00104002     0.00048281     0.00074975     0.00127486     0.00224049     0.00376186
    1500      800     0.00028143     0.00013422     0.00021080     0.00036207     0.00064188     0.00107594
