# Contour T6btLL_ctau10, ExpMinus2
#    mstop     mchi10
     669.3        0.0
     675.0        2.5
     700.0       10.6
     725.0       16.0
     750.0       20.1
     775.0       23.4
     789.7       25.0
     800.0       28.1
     825.0       34.3
     850.0       39.0
     875.0       42.2
     900.0       44.3
     925.0       45.6
     950.0       47.1
     975.0       49.2
     982.9       50.0
    1000.0       55.4
    1025.0       62.8
    1050.0       68.5
    1075.0       72.6
    1093.3       75.0
    1100.0       77.7
    1125.0       86.4
    1150.0       93.4
    1175.0       98.9
    1181.6      100.0
    1200.0      108.9
    1225.0      117.8
    1250.0      124.0
    1255.3      125.0
    1275.0      135.1
    1300.0      145.2
    1313.9      150.0
    1325.0      160.9
    1341.8      175.0
    1349.7      200.0
    1346.8      225.0
    1337.6      250.0
    1325.0      274.5
    1324.8      275.0
    1312.3      300.0
    1300.0      323.0
    1299.1      325.0
    1287.1      350.0
    1275.0      373.9
    1274.5      375.0
    1262.9      400.0
    1250.6      425.0
    1250.0      426.2
    1239.9      450.0
    1228.4      475.0
    1225.0      482.0
    1217.6      500.0
    1206.7      525.0
    1200.0      539.3
    1195.9      550.0
    1185.4      575.0
    1175.0      597.5
    1174.0      600.0
    1163.6      625.0
    1151.7      650.0
    1150.0      653.1
    1139.3      675.0
    1125.0      697.5
    1123.5      700.0
    1103.0      725.0
    1100.0      727.5
    1075.0      747.2
    1071.1      750.0
    1050.0      760.2
    1025.0      771.0
    1016.8      775.0
    1000.0      781.7
     975.0      798.3
     973.6      800.0
     957.1      825.0
     950.0      842.1
     947.9      850.0
     942.6      875.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
