# Contour T6btLL_ctau10, ObsMinus
#    mstop     mchi10
     749.9        0.0
     750.0        0.0
     775.0        9.1
     800.0       16.6
     825.0       22.5
     838.3       25.0
     850.0       30.8
     875.0       40.5
     900.0       46.5
     925.0       50.0
     925.4       50.0
     950.0       59.5
     975.0       65.1
    1000.0       68.3
    1025.0       70.3
    1050.0       71.7
    1075.0       72.7
    1100.0       73.6
    1125.0       74.4
    1141.0       75.0
    1150.0       76.6
    1175.0       81.9
    1200.0       87.6
    1225.0       92.9
    1250.0       97.0
    1275.0       99.9
    1276.1      100.0
    1300.0      107.7
    1325.0      113.9
    1350.0      118.9
    1375.0      123.3
    1385.9      125.0
    1400.0      131.8
    1425.0      142.3
    1445.3      150.0
    1450.0      155.0
    1472.0      175.0
    1475.0      186.5
    1479.2      200.0
    1475.0      221.9
    1474.5      225.0
    1464.2      250.0
    1450.1      275.0
    1450.0      275.2
    1436.7      300.0
    1425.0      321.1
    1423.1      325.0
    1411.1      350.0
    1400.0      373.6
    1399.5      375.0
    1389.8      400.0
    1380.2      425.0
    1375.0      438.3
    1371.1      450.0
    1362.9      475.0
    1354.8      500.0
    1350.0      515.4
    1347.5      525.0
    1341.1      550.0
    1334.9      575.0
    1328.3      600.0
    1325.0      611.5
    1321.7      625.0
    1314.9      650.0
    1307.7      675.0
    1300.3      700.0
    1300.0      700.8
    1293.8      725.0
    1287.3      750.0
    1280.8      775.0
    1275.0      794.7
    1273.6      800.0
    1265.5      825.0
    1253.2      850.0
    1250.0      854.4
    1234.9      875.0
    1225.0      883.2
    1200.0      898.5
    1196.6      900.0
    1175.0      905.9
    1150.0      910.7
    1125.0      915.9
    1102.9      925.0
    1100.0      926.4
    1080.5      950.0
    1075.0      962.9
    1071.9      975.0
    1068.4     1000.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
