# Contour T6btLL_ctau10, ObsPlus
#    mstop     mchi10
     766.5        0.0
     775.0        3.5
     800.0       12.6
     825.0       19.7
     850.0       24.9
     850.5       25.0
     875.0       36.5
     900.0       44.1
     925.0       48.4
     941.0       50.0
     950.0       53.8
     975.0       60.8
    1000.0       64.8
    1025.0       67.2
    1050.0       68.8
    1075.0       70.0
    1100.0       70.9
    1125.0       71.8
    1150.0       72.9
    1175.0       74.3
    1184.6       75.0
    1200.0       79.4
    1225.0       86.2
    1250.0       91.6
    1275.0       95.5
    1300.0       98.3
    1320.2      100.0
    1325.0      101.5
    1350.0      107.7
    1375.0      113.1
    1400.0      118.0
    1425.0      122.6
    1439.2      125.0
    1450.0      130.3
    1475.0      141.1
    1498.6      150.0
    1500.0      151.4
    1525.0      173.2
    1527.4      175.0
    1535.9      200.0
    1532.1      225.0
    1525.0      240.9
    1521.3      250.0
    1507.4      275.0
    1500.0      286.4
    1492.7      300.0
    1478.7      325.0
    1475.0      331.5
    1466.2      350.0
    1454.4      375.0
    1450.0      384.4
    1444.0      400.0
    1434.5      425.0
    1425.0      449.7
    1424.9      450.0
    1416.7      475.0
    1408.7      500.0
    1400.8      525.0
    1400.0      527.8
    1394.5      550.0
    1388.6      575.0
    1382.7      600.0
    1376.6      625.0
    1375.0      631.1
    1370.6      650.0
    1364.2      675.0
    1357.2      700.0
    1350.0      724.2
    1349.8      725.0
    1343.5      750.0
    1337.1      775.0
    1330.6      800.0
    1325.0      820.2
    1323.9      825.0
    1317.0      850.0
    1307.3      875.0
    1300.0      887.8
    1292.8      900.0
    1275.0      918.4
    1267.3      925.0
    1250.0      934.1
    1225.0      944.2
    1200.5      950.0
    1200.0      950.1
    1175.0      954.0
    1150.0      960.5
    1127.7      975.0
    1125.0      978.0
    1115.1     1000.0
    1109.7     1025.0
    1106.4     1050.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
