# Contour T6btLL_ctau200, Exp
#    mstop     mchi10
     572.5        0.0
     575.0        1.4
     600.0       11.0
     625.0       16.9
     650.0       21.7
     672.1       25.0
     675.0       26.1
     700.0       33.3
     725.0       38.2
     750.0       42.3
     775.0       46.4
     800.0       49.9
     800.5       50.0
     825.0       58.5
     850.0       63.2
     875.0       65.1
     900.0       65.1
     925.0       64.4
     950.0       64.2
     975.0       65.6
    1000.0       68.6
    1025.0       73.0
    1034.8       75.0
    1050.0       81.8
    1075.0       92.1
    1098.6      100.0
    1100.0      100.9
    1125.0      114.0
    1150.0      123.5
    1155.0      125.0
    1175.0      136.9
    1200.0      149.2
    1201.8      150.0
    1225.0      167.6
    1236.1      175.0
    1250.0      189.7
    1261.7      200.0
    1275.0      216.7
    1282.7      225.0
    1300.0      249.6
    1300.3      250.0
    1316.1      275.0
    1325.0      292.4
    1329.6      300.0
    1342.4      325.0
    1350.0      341.5
    1354.6      350.0
    1367.1      375.0
    1375.0      392.2
    1379.1      400.0
    1391.0      425.0
    1400.0      446.0
    1401.9      450.0
    1413.0      475.0
    1423.1      500.0
    1425.0      505.0
    1433.7      525.0
    1443.7      550.0
    1450.0      567.3
    1453.3      575.0
    1462.7      600.0
    1471.0      625.0
    1475.0      638.2
    1479.1      650.0
    1487.0      675.0
    1494.2      700.0
    1500.0      722.8
    1500.7      725.0
    1507.3      750.0
    1512.9      775.0
    1517.7      800.0
    1521.8      825.0
    1525.0      847.4
    1525.4      850.0
    1529.2      875.0
    1532.7      900.0
    1536.1      925.0
    1539.1      950.0
    1541.7      975.0
    1543.7     1000.0
    1544.8     1025.0
    1545.0     1050.0
    1544.1     1075.0
    1541.8     1100.0
    1537.8     1125.0
    1531.5     1150.0
    1525.0     1166.0
    1521.0     1175.0
    1502.2     1200.0
    1500.0     1201.8
    1475.0     1220.6
    1468.6     1225.0
    1450.0     1235.3
    1431.8     1250.0
    1425.0     1256.4
    1414.0     1275.0
    1405.0     1300.0
    1400.7     1325.0
    1400.0     1337.4
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
