# Contour T6btLL_ctau200, ExpMinus
#    mstop     mchi10
     534.7        0.0
     550.0        8.7
     575.0       17.4
     600.0       22.6
     618.5       25.0
     625.0       27.3
     650.0       34.5
     675.0       40.2
     700.0       44.3
     725.0       47.3
     750.0       49.7
     752.6       50.0
     775.0       57.5
     800.0       64.5
     825.0       69.6
     850.0       72.5
     875.0       74.0
     900.0       74.8
     914.2       75.0
     925.0       75.7
     950.0       77.9
     975.0       81.8
    1000.0       87.5
    1025.0       94.3
    1045.5      100.0
    1050.0      102.7
    1075.0      116.0
    1096.5      125.0
    1100.0      127.7
    1125.0      143.2
    1139.4      150.0
    1150.0      159.0
    1172.8      175.0
    1175.0      177.6
    1198.2      200.0
    1200.0      202.6
    1218.4      225.0
    1225.0      236.1
    1234.9      250.0
    1248.6      275.0
    1250.0      278.1
    1261.9      300.0
    1273.4      325.0
    1275.0      329.0
    1284.9      350.0
    1295.8      375.0
    1300.0      385.5
    1306.9      400.0
    1318.1      425.0
    1325.0      441.9
    1328.9      450.0
    1339.5      475.0
    1349.0      500.0
    1350.0      502.8
    1358.8      525.0
    1367.8      550.0
    1375.0      572.0
    1376.1      575.0
    1384.6      600.0
    1392.0      625.0
    1398.7      650.0
    1400.0      655.6
    1405.3      675.0
    1411.4      700.0
    1416.8      725.0
    1421.6      750.0
    1425.0      770.4
    1425.9      775.0
    1429.8      800.0
    1432.9      825.0
    1435.4      850.0
    1437.2      875.0
    1438.6      900.0
    1439.6      925.0
    1440.4      950.0
    1440.9      975.0
    1440.5     1000.0
    1438.5     1025.0
    1433.9     1050.0
    1425.1     1075.0
    1425.0     1075.2
    1410.4     1100.0
    1400.0     1110.6
    1385.7     1125.0
    1375.0     1132.7
    1353.8     1150.0
    1350.0     1153.1
    1334.0     1175.0
    1325.0     1195.2
    1323.7     1200.0
    1319.1     1225.0
    1315.8     1250.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
