# Contour T6btLL_ctau200, ExpPlus
#    mstop     mchi10
     638.2        0.0
     650.0        4.8
     675.0       12.9
     700.0       18.7
     725.0       22.4
     745.5       25.0
     750.0       26.4
     775.0       34.2
     800.0       41.2
     825.0       46.2
     850.0       48.7
     875.0       49.6
     900.0       49.2
     925.0       48.1
     950.0       47.3
     975.0       47.6
    1000.0       49.3
    1006.0       50.0
    1025.0       55.1
    1050.0       63.2
    1075.0       71.2
    1088.9       75.0
    1100.0       81.0
    1125.0       91.5
    1150.0       98.9
    1154.8      100.0
    1175.0      109.5
    1200.0      119.0
    1218.0      125.0
    1225.0      129.6
    1250.0      144.1
    1261.6      150.0
    1275.0      161.3
    1293.8      175.0
    1300.0      181.8
    1319.7      200.0
    1325.0      206.8
    1341.9      225.0
    1350.0      236.5
    1361.0      250.0
    1375.0      271.9
    1377.2      275.0
    1392.3      300.0
    1400.0      314.6
    1406.4      325.0
    1420.2      350.0
    1425.0      359.6
    1433.7      375.0
    1446.3      400.0
    1450.0      408.3
    1458.5      425.0
    1470.1      450.0
    1475.0      461.4
    1481.8      475.0
    1493.7      500.0
    1500.0      514.1
    1505.8      525.0
    1517.8      550.0
    1525.0      566.9
    1528.9      575.0
    1539.5      600.0
    1548.9      625.0
    1550.0      628.2
    1558.6      650.0
    1567.5      675.0
    1575.0      698.5
    1575.5      700.0
    1583.3      725.0
    1590.1      750.0
    1596.0      775.0
    1600.0      794.4
    1601.4      800.0
    1606.9      825.0
    1611.9      850.0
    1616.8      875.0
    1621.5      900.0
    1625.0      919.9
    1626.0      925.0
    1630.2      950.0
    1633.7      975.0
    1636.3     1000.0
    1638.2     1025.0
    1639.2     1050.0
    1639.6     1075.0
    1639.4     1100.0
    1638.7     1125.0
    1637.6     1150.0
    1635.7     1175.0
    1632.5     1200.0
    1627.3     1225.0
    1625.0     1232.1
    1618.9     1250.0
    1603.9     1275.0
    1600.0     1279.1
    1577.4     1300.0
    1575.0     1301.5
    1550.0     1315.4
    1536.0     1325.0
    1525.0     1332.8
    1510.4     1350.0
    1500.0     1372.5
    1499.3     1375.0
    1496.3     1400.0
    1496.0     1425.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
