# Contour T6btLL_ctau200, ExpPlus2
#    mstop     mchi10
     684.2        0.0
     700.0        6.1
     725.0       12.3
     750.0       17.3
     775.0       22.4
     788.3       25.0
     800.0       29.9
     825.0       37.9
     850.0       41.9
     875.0       42.7
     900.0       41.2
     925.0       38.6
     950.0       36.4
     975.0       35.9
    1000.0       37.7
    1025.0       41.7
    1050.0       47.2
    1062.0       50.0
    1075.0       56.0
    1100.0       66.1
    1125.0       73.6
    1131.6       75.0
    1150.0       83.0
    1175.0       91.0
    1200.0       97.3
    1211.9      100.0
    1225.0      106.2
    1250.0      117.1
    1269.4      125.0
    1275.0      129.0
    1300.0      144.9
    1309.2      150.0
    1325.0      163.6
    1341.1      175.0
    1350.0      184.3
    1368.0      200.0
    1375.0      208.5
    1390.8      225.0
    1400.0      237.8
    1410.3      250.0
    1425.0      271.9
    1427.4      275.0
    1443.4      300.0
    1450.0      311.7
    1458.7      325.0
    1473.3      350.0
    1475.0      353.2
    1488.0      375.0
    1500.0      397.7
    1501.4      400.0
    1515.2      425.0
    1525.0      444.3
    1528.3      450.0
    1541.6      475.0
    1550.0      491.9
    1554.7      500.0
    1567.9      525.0
    1575.0      539.8
    1580.5      550.0
    1592.6      575.0
    1600.0      592.1
    1604.1      600.0
    1615.3      625.0
    1625.0      649.3
    1625.3      650.0
    1635.2      675.0
    1644.1      700.0
    1650.0      718.6
    1652.4      725.0
    1660.6      750.0
    1667.8      775.0
    1674.2      800.0
    1675.0      803.3
    1680.5      825.0
    1686.2      850.0
    1691.4      875.0
    1696.3      900.0
    1700.0      921.4
    1700.7      925.0
    1705.2      950.0
    1709.3      975.0
    1712.9     1000.0
    1715.8     1025.0
    1718.1     1050.0
    1719.8     1075.0
    1721.0     1100.0
    1721.7     1125.0
    1721.9     1150.0
    1721.8     1175.0
    1721.1     1200.0
    1719.7     1225.0
    1717.2     1250.0
    1713.2     1275.0
    1707.1     1300.0
    1700.0     1319.3
    1697.9     1325.0
    1683.8     1350.0
    1675.0     1360.0
    1658.6     1375.0
    1650.0     1380.5
    1625.0     1396.4
    1619.5     1400.0
    1600.0     1413.7
    1591.7     1425.0
    1581.6     1450.0
    1577.7     1475.0
    1576.6     1500.0
    1576.8     1525.0
    1575.0     1550.0
    1550.0     1525.0
    1525.0     1500.0
    1500.0     1475.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
