# Contour T6btLL_ctau200, Obs
#    mstop     mchi10
     459.0        0.0
     475.0       10.6
     500.0       19.9
     525.0       24.0
     535.2       25.0
     550.0       30.5
     575.0       37.2
     600.0       42.5
     625.0       46.5
     650.0       49.0
     664.3       50.0
     675.0       54.3
     700.0       61.2
     725.0       66.1
     750.0       69.6
     775.0       72.1
     800.0       73.9
     821.9       75.0
     825.0       76.0
     850.0       82.1
     875.0       86.5
     900.0       89.9
     925.0       92.5
     950.0       94.9
     975.0       96.9
    1000.0       98.8
    1019.1      100.0
    1025.0      101.7
    1050.0      107.4
    1075.0      112.5
    1100.0      116.8
    1125.0      120.7
    1150.0      124.6
    1153.0      125.0
    1175.0      134.1
    1200.0      143.9
    1217.2      150.0
    1225.0      155.8
    1250.0      171.8
    1256.1      175.0
    1275.0      192.7
    1284.5      200.0
    1300.0      218.7
    1306.2      225.0
    1323.5      250.0
    1325.0      252.7
    1339.0      275.0
    1350.0      296.0
    1352.4      300.0
    1365.9      325.0
    1375.0      343.5
    1378.7      350.0
    1391.8      375.0
    1400.0      392.1
    1404.4      400.0
    1417.1      425.0
    1425.0      442.6
    1428.7      450.0
    1440.2      475.0
    1450.0      498.0
    1451.0      500.0
    1462.6      525.0
    1473.3      550.0
    1475.0      554.5
    1483.9      575.0
    1493.6      600.0
    1500.0      618.4
    1502.7      625.0
    1512.0      650.0
    1520.4      675.0
    1525.0      690.6
    1528.1      700.0
    1535.5      725.0
    1541.9      750.0
    1547.4      775.0
    1550.0      788.8
    1552.5      800.0
    1557.5      825.0
    1562.1      850.0
    1566.4      875.0
    1570.6      900.0
    1574.6      925.0
    1575.0      927.8
    1578.5      950.0
    1581.9      975.0
    1584.4     1000.0
    1586.2     1025.0
    1587.1     1050.0
    1587.2     1075.0
    1586.4     1100.0
    1584.6     1125.0
    1581.7     1150.0
    1577.1     1175.0
    1575.0     1182.3
    1569.8     1200.0
    1556.8     1225.0
    1550.0     1232.8
    1533.3     1250.0
    1525.0     1255.6
    1500.0     1269.8
    1492.2     1275.0
    1475.0     1286.2
    1462.1     1300.0
    1450.0     1320.4
    1448.4     1325.0
    1443.7     1350.0
    1442.2     1375.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
