   mstop     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     400        1    19.23986340     4.36099279     6.68578280    12.40388651    24.96333119    37.62040203
     400       50     0.00408228     0.00230762     0.00317242     0.00461413     0.00693164     0.01012165
     400      100     0.00180942     0.00099614     0.00140829     0.00214263     0.00332162     0.00499346
     400      150     0.00104222     0.00053487     0.00080089     0.00129201     0.00213665     0.00335457
     400      200     0.00093724     0.00045307     0.00068761     0.00113624     0.00192512     0.00310933
     400      217     0.00092063     0.00046364     0.00070496     0.00116480     0.00199043     0.00321414
     400      233     0.00091317     0.00043964     0.00067514     0.00112495     0.00193224     0.00315375
     400      250     0.00096208     0.00048619     0.00074268     0.00123196     0.00210648     0.00345278
     400      300     0.00162734     0.00079208     0.00120748     0.00202785     0.00350035     0.00577237
     400      315     0.00081287     0.00038591     0.00058954     0.00097791     0.00168815     0.00276377
     450        1     1.76916725     0.45140385     0.78467225     1.80571417     3.63394914     5.47650655
     450       50     0.00416766     0.00218338     0.00301050     0.00443624     0.00671850     0.00991875
     450      100     0.00159537     0.00088116     0.00124189     0.00186393     0.00288227     0.00430780
     450      150     0.00089437     0.00045604     0.00067576     0.00108088     0.00176162     0.00275063
     450      200     0.00068451     0.00034009     0.00052060     0.00085347     0.00144483     0.00232502
     450      250     0.00074451     0.00036400     0.00055569     0.00092185     0.00157590     0.00256379
     450      267     0.00072521     0.00035522     0.00054584     0.00091021     0.00157071     0.00256181
     450      283     0.00075538     0.00035760     0.00055314     0.00092547     0.00160384     0.00263445
     450      300     0.00082550     0.00039608     0.00060381     0.00101462     0.00175021     0.00288652
     450      350     0.00123011     0.00057575     0.00089337     0.00152011     0.00265886     0.00442223
     450      365     0.00070758     0.00034232     0.00051922     0.00086810     0.00149706     0.00246916
     500       50     0.00399366     0.00207324     0.00288333     0.00427901     0.00654700     0.00975491
     500      100     0.00161749     0.00087365     0.00122934     0.00186349     0.00291109     0.00439682
     500      150     0.00089983     0.00047695     0.00070416     0.00110966     0.00179064     0.00279216
     500      200     0.00064177     0.00032089     0.00048278     0.00079060     0.00132638     0.00212570
     500      250     0.00051969     0.00025776     0.00039587     0.00065959     0.00112809     0.00183471
     500      300     0.00056472     0.00027521     0.00042272     0.00070398     0.00121476     0.00200351
     500      317     0.00063678     0.00031047     0.00047773     0.00080228     0.00138448     0.00228301
     500      333     0.00063878     0.00030511     0.00047164     0.00078951     0.00136204     0.00223846
     500      350     0.00067406     0.00032122     0.00049764     0.00083973     0.00146257     0.00241738
     500      400     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500      415     0.00056581     0.00026169     0.00040432     0.00067603     0.00117760     0.00194676
     550        1    35.15569504     5.23638268    10.20113744    31.17684903    62.74101936    94.55166687
     550       50     0.00395719     0.00198279     0.00278215     0.00416123     0.00641647     0.00965712
     550      100     0.00165644     0.00089947     0.00126791     0.00190308     0.00295723     0.00443828
     550      150     0.00088562     0.00048814     0.00071016     0.00110567     0.00176682     0.00272644
     550      200     0.00061909     0.00031489     0.00047106     0.00076000     0.00125700     0.00199004
     550      250     0.00046836     0.00022876     0.00035097     0.00058515     0.00099994     0.00161459
     550      300     0.00041188     0.00020153     0.00031158     0.00052147     0.00090410     0.00148454
     550      350     0.00049798     0.00024163     0.00037128     0.00061880     0.00106767     0.00175424
     550      367     0.00053495     0.00025541     0.00039719     0.00066768     0.00116290     0.00192208
     550      383     0.00056326     0.00027151     0.00041992     0.00070267     0.00121254     0.00200684
     550      400     0.00060877     0.00029379     0.00045334     0.00075891     0.00131587     0.00216073
     550      450     0.00098089     0.00047302     0.00072431     0.00122162     0.00210854     0.00347692
     550      465     0.00050555     0.00024178     0.00036859     0.00061939     0.00107816     0.00177590
     600        1    17.39613593     2.86696345     5.62734501    15.95324992    32.10622894    48.38459842
     600       50     0.00335326     0.00159747     0.00224870     0.00340812     0.00535100     0.00813129
     600      100     0.00163050     0.00087648     0.00122246     0.00183973     0.00285845     0.00433299
     600      150     0.00090968     0.00049422     0.00071507     0.00110927     0.00177275     0.00272316
     600      200     0.00060354     0.00031489     0.00047146     0.00076011     0.00125125     0.00195538
     600      250     0.00045350     0.00022964     0.00034711     0.00057145     0.00096284     0.00153718
     600      300     0.00039527     0.00019477     0.00029903     0.00049781     0.00085126     0.00138458
     600      350     0.00037183     0.00018437     0.00028317     0.00047151     0.00081379     0.00133735
     600      400     0.00044293     0.00021831     0.00033280     0.00055887     0.00096444     0.00159075
     600      417     0.00048600     0.00023758     0.00036463     0.00060789     0.00105361     0.00173020
     600      433     0.00054536     0.00026204     0.00040538     0.00067806     0.00117526     0.00193731
     600      450     0.00058332     0.00027634     0.00042953     0.00072237     0.00125738     0.00207108
     600      500     0.00088973     0.00041848     0.00064531     0.00109434     0.00190538     0.00318212
     600      515     0.00049066     0.00023388     0.00035655     0.00059915     0.00103802     0.00171731
     650       50     0.00369764     0.00184662     0.00258592     0.00390588     0.00608524     0.00929809
     650      100     0.00160309     0.00086101     0.00121408     0.00182191     0.00284624     0.00429870
     650      150     0.00102481     0.00053692     0.00077006     0.00118522     0.00189378     0.00290902
     650      200     0.00063504     0.00032810     0.00048964     0.00077735     0.00127353     0.00199781
     650      250     0.00052498     0.00026570     0.00040200     0.00065338     0.00109094     0.00172802
     650      300     0.00035914     0.00017696     0.00027162     0.00045285     0.00077442     0.00125011
     650      350     0.00033036     0.00015877     0.00024456     0.00041483     0.00071866     0.00118037
     650      400     0.00034269     0.00016747     0.00025788     0.00043740     0.00075813     0.00124935
     650      450     0.00041631     0.00020992     0.00032261     0.00053740     0.00092718     0.00152910
     650      467     0.00045064     0.00022082     0.00033881     0.00057148     0.00099511     0.00165094
     650      483     0.00049785     0.00024300     0.00037554     0.00062878     0.00108999     0.00178989
