# Contour T6tbLL_ctau10, Exp
# msbottom     mchi10
    1031.1        0.0
    1050.0        3.9
    1075.0       11.7
    1100.0       20.5
    1112.7       25.0
    1125.0       32.3
    1150.0       44.5
    1166.0       50.0
    1175.0       55.7
    1200.0       66.7
    1225.0       73.3
    1234.1       75.0
    1250.0       82.0
    1275.0       90.0
    1300.0       95.9
    1321.2      100.0
    1325.0      101.9
    1350.0      112.4
    1375.0      121.5
    1385.9      125.0
    1400.0      135.2
    1425.0      149.6
    1425.8      150.0
    1448.4      175.0
    1450.0      180.3
    1457.3      200.0
    1456.2      225.0
    1450.0      245.5
    1448.8      250.0
    1438.9      275.0
    1426.8      300.0
    1425.0      303.2
    1414.7      325.0
    1401.8      350.0
    1400.0      353.4
    1390.2      375.0
    1378.3      400.0
    1375.0      406.8
    1367.4      425.0
    1356.9      450.0
    1350.0      466.3
    1346.9      475.0
    1338.3      500.0
    1329.9      525.0
    1325.0      539.8
    1322.2      550.0
    1315.1      575.0
    1307.6      600.0
    1300.0      623.5
    1299.6      625.0
    1292.1      650.0
    1283.8      675.0
    1275.0      698.0
    1274.3      700.0
    1264.5      725.0
    1251.7      750.0
    1250.0      752.6
    1236.0      775.0
    1225.0      786.3
    1208.1      800.0
    1200.0      803.8
    1175.0      810.9
    1150.0      812.6
    1125.0      810.5
    1100.0      806.4
    1075.0      801.4
    1069.5      800.0
    1050.0      795.0
    1025.0      788.8
    1000.0      783.8
     975.0      781.0
     950.0      780.9
     925.0      786.5
     900.0      799.5
     899.5      800.0
     875.3      825.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
