# Contour T6tbLL_ctau10, ExpMinus
# msbottom     mchi10
     706.2        0.0
     725.0        6.9
     750.0       14.1
     775.0       19.7
     800.0       23.9
     810.6       25.0
     825.0       28.8
     850.0       32.3
     875.0       33.2
     900.0       31.6
     925.0       27.0
     935.0       25.0
     950.0       23.0
     975.0       20.2
    1000.0       18.8
    1025.0       19.6
    1050.0       22.7
    1062.7       25.0
    1075.0       29.7
    1100.0       40.1
    1125.0       49.2
    1127.7       50.0
    1150.0       63.1
    1175.0       72.9
    1183.1       75.0
    1200.0       84.5
    1225.0       93.9
    1248.9      100.0
    1250.0      100.7
    1275.0      112.1
    1300.0      121.0
    1313.6      125.0
    1325.0      133.1
    1350.0      148.2
    1353.6      150.0
    1373.5      175.0
    1375.0      182.1
    1379.6      200.0
    1376.2      225.0
    1375.0      228.2
    1368.0      250.0
    1356.8      275.0
    1350.0      287.9
    1344.6      300.0
    1332.2      325.0
    1325.0      338.5
    1319.9      350.0
    1308.2      375.0
    1300.0      391.4
    1296.3      400.0
    1285.2      425.0
    1275.0      447.3
    1274.0      450.0
    1264.3      475.0
    1254.7      500.0
    1250.0      512.1
    1246.0      525.0
    1237.8      550.0
    1229.1      575.0
    1225.0      585.6
    1220.2      600.0
    1210.9      625.0
    1200.0      649.7
    1199.9      650.0
    1187.9      675.0
    1175.0      694.4
    1171.3      700.0
    1150.0      720.5
    1144.1      725.0
    1125.0      733.5
    1100.0      739.4
    1075.0      740.5
    1050.0      738.5
    1025.0      735.0
    1000.0      730.5
     975.0      725.9
     970.9      725.0
     950.0      720.5
     925.0      715.9
     900.0      712.7
     875.0      714.6
     850.0      723.2
     847.6      725.0
     825.0      742.8
     819.1      750.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
