# Contour T6tbLL_ctau10, ExpMinus2
# msbottom     mchi10
     665.9        0.0
     675.0        4.0
     700.0       12.4
     725.0       18.4
     750.0       23.1
     762.6       25.0
     775.0       29.4
     800.0       36.0
     825.0       40.3
     850.0       42.8
     875.0       43.6
     900.0       43.0
     925.0       40.7
     950.0       37.5
     975.0       34.5
    1000.0       33.4
    1025.0       35.1
    1050.0       39.7
    1075.0       46.0
    1089.9       50.0
    1100.0       55.6
    1125.0       67.9
    1144.4       75.0
    1150.0       79.0
    1175.0       92.6
    1196.4      100.0
    1200.0      102.7
    1225.0      116.4
    1247.1      125.0
    1250.0      127.6
    1275.0      144.6
    1284.9      150.0
    1300.0      171.0
    1303.4      175.0
    1308.1      200.0
    1303.8      225.0
    1300.0      234.6
    1294.8      250.0
    1283.5      275.0
    1275.0      291.0
    1270.9      300.0
    1258.5      325.0
    1250.0      340.9
    1246.0      350.0
    1234.2      375.0
    1225.0      393.4
    1222.2      400.0
    1211.1      425.0
    1200.0      449.2
    1199.7      450.0
    1189.8      475.0
    1179.3      500.0
    1175.0      509.7
    1169.2      525.0
    1158.7      550.0
    1150.0      567.9
    1147.0      575.0
    1134.2      600.0
    1125.0      614.2
    1118.4      625.0
    1100.0      645.8
    1096.1      650.0
    1075.0      663.9
    1050.0      674.1
    1045.9      675.0
    1025.0      677.7
    1000.0      677.6
     975.0      675.5
     972.2      675.0
     950.0      671.0
     925.0      665.6
     900.0      659.7
     875.0      654.9
     850.0      650.8
     831.4      650.0
     825.0      649.7
     823.1      650.0
     800.0      653.6
     775.0      666.8
     766.7      675.0
     750.0      692.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
