# Contour T6tbLL_ctau10, ExpPlus
# msbottom     mchi10
    1108.7        0.0
    1125.0        9.8
    1150.0       22.6
    1155.7       25.0
    1175.0       36.9
    1200.0       46.6
    1214.2       50.0
    1225.0       55.3
    1250.0       64.0
    1275.0       70.0
    1300.0       74.4
    1304.7       75.0
    1325.0       82.1
    1350.0       89.5
    1375.0       96.2
    1390.9      100.0
    1400.0      104.9
    1425.0      116.2
    1450.0      124.9
    1450.4      125.0
    1475.0      140.4
    1494.1      150.0
    1500.0      156.8
    1519.0      175.0
    1525.0      190.9
    1528.9      200.0
    1529.2      225.0
    1525.0      243.3
    1523.6      250.0
    1515.0      275.0
    1503.9      300.0
    1500.0      307.7
    1492.5      325.0
    1480.7      350.0
    1475.0      361.4
    1469.1      375.0
    1457.7      400.0
    1450.0      416.4
    1446.6      425.0
    1436.6      450.0
    1426.7      475.0
    1425.0      479.3
    1418.1      500.0
    1409.9      525.0
    1401.8      550.0
    1400.0      555.5
    1394.8      575.0
    1388.0      600.0
    1381.3      625.0
    1375.0      648.6
    1374.7      650.0
    1369.0      675.0
    1363.0      700.0
    1356.6      725.0
    1350.0      748.0
    1349.5      750.0
    1342.3      775.0
    1333.3      800.0
    1325.0      817.4
    1321.7      825.0
    1305.5      850.0
    1300.0      855.4
    1275.0      873.8
    1272.4      875.0
    1250.0      880.9
    1225.0      883.4
    1200.0      882.2
    1175.0      878.6
    1158.3      875.0
    1150.0      873.2
    1125.0      865.9
    1100.0      858.9
    1075.0      852.6
    1063.6      850.0
    1050.0      847.0
    1025.0      844.2
    1000.0      845.4
     987.2      850.0
     975.0      855.0
     950.9      875.0
     950.0      875.8
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
