# Contour T6tbLL_ctau10, ExpPlus2
# msbottom     mchi10
    1144.0        0.0
    1150.0        4.4
    1175.0       19.5
    1188.5       25.0
    1200.0       31.8
    1225.0       41.6
    1250.0       47.9
    1261.7       50.0
    1275.0       55.2
    1300.0       62.3
    1325.0       67.8
    1350.0       72.4
    1364.8       75.0
    1375.0       79.2
    1400.0       88.7
    1425.0       96.2
    1441.3      100.0
    1450.0      104.6
    1475.0      115.0
    1500.0      123.0
    1507.9      125.0
    1525.0      135.2
    1550.0      148.2
    1554.1      150.0
    1575.0      171.3
    1579.0      175.0
    1589.1      200.0
    1590.0      225.0
    1585.5      250.0
    1577.3      275.0
    1575.0      280.6
    1567.7      300.0
    1556.9      325.0
    1550.0      339.5
    1545.8      350.0
    1535.1      375.0
    1525.0      397.7
    1524.1      400.0
    1513.6      425.0
    1502.9      450.0
    1500.0      456.7
    1493.4      475.0
    1484.7      500.0
    1476.4      525.0
    1475.0      529.4
    1469.3      550.0
    1462.5      575.0
    1455.7      600.0
    1450.0      620.9
    1449.1      625.0
    1443.7      650.0
    1438.7      675.0
    1434.0      700.0
    1429.3      725.0
    1425.0      747.2
    1424.5      750.0
    1419.9      775.0
    1414.6      800.0
    1408.4      825.0
    1400.9      850.0
    1400.0      852.3
    1392.4      875.0
    1380.3      900.0
    1375.0      907.2
    1359.5      925.0
    1350.0      931.2
    1325.0      941.6
    1300.0      945.6
    1275.0      944.4
    1250.0      940.5
    1225.0      935.8
    1200.0      930.3
    1178.1      925.0
    1175.0      924.3
    1150.0      917.0
    1125.0      910.3
    1100.0      905.1
    1075.0      902.8
    1050.0      906.0
    1025.0      919.1
    1018.8      925.0
    1000.0      943.8
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
