# Contour T6tbLL_ctau10, ObsPlus
# msbottom     mchi10
     748.8        0.0
     750.0        0.6
     775.0       10.9
     800.0       18.6
     825.0       23.8
     832.7       25.0
     850.0       32.8
     875.0       41.0
     900.0       46.5
     925.0       49.8
     927.3       50.0
     950.0       59.1
     975.0       65.3
    1000.0       69.0
    1025.0       71.5
    1050.0       73.1
    1075.0       74.2
    1097.8       75.0
    1100.0       75.4
    1125.0       79.2
    1150.0       82.2
    1175.0       85.1
    1200.0       88.0
    1225.0       91.0
    1250.0       94.0
    1275.0       96.7
    1300.0       99.2
    1308.3      100.0
    1325.0      105.5
    1350.0      112.4
    1375.0      118.2
    1400.0      123.0
    1412.7      125.0
    1425.0      130.8
    1450.0      141.0
    1475.0      149.8
    1475.6      150.0
    1500.0      170.8
    1505.8      175.0
    1515.5      200.0
    1512.6      225.0
    1502.5      250.0
    1500.0      254.3
    1489.7      275.0
    1475.0      299.9
    1474.9      300.0
    1461.0      325.0
    1450.0      344.1
    1447.1      350.0
    1434.7      375.0
    1425.0      394.4
    1422.6      400.0
    1412.0      425.0
    1401.5      450.0
    1400.0      453.7
    1392.8      475.0
    1384.5      500.0
    1376.4      525.0
    1375.0      529.2
    1369.3      550.0
    1362.4      575.0
    1355.3      600.0
    1350.0      618.3
    1348.4      625.0
    1342.2      650.0
    1335.8      675.0
    1328.8      700.0
    1325.0      712.4
    1321.7      725.0
    1314.1      750.0
    1304.7      775.0
    1300.0      784.5
    1292.7      800.0
    1275.0      823.5
    1273.7      825.0
    1250.0      840.9
    1226.5      850.0
    1225.0      850.3
    1200.0      852.4
    1175.0      851.1
    1168.3      850.0
    1150.0      847.0
    1125.0      841.0
    1100.0      834.6
    1075.0      828.5
    1060.4      825.0
    1050.0      822.5
    1025.0      817.8
    1000.0      816.2
     975.0      821.7
     969.8      825.0
     950.0      840.9
     943.7      850.0
     928.7      875.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
