msbottom   mchi10            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     400        1     0.24055981     0.10035009     0.15963877     0.28562722     0.53820500     0.86589513
     400       50     0.00075210     0.00038984     0.00057733     0.00092390     0.00150547     0.00232035
     400      100     0.00141839     0.00077279     0.00112601     0.00173497     0.00274416     0.00414804
     400      150     0.00330144     0.00184020     0.00261302     0.00399151     0.00620405     0.00926388
     400      200     0.01268595     0.00694238     0.00986784     0.01507463     0.02360051     0.03557969
     400      217     0.02120467     0.01203962     0.01717280     0.02633785     0.04156937     0.06353935
     400      233     0.01583137     0.00824663     0.01166465     0.01775197     0.02765878     0.04184082
     400      250     0.01352826     0.00771186     0.01085293     0.01645270     0.02556180     0.03836436
     400      300     0.01651718     0.01109420     0.01598252     0.02470894     0.03948848     0.06093218
     450        1     0.63466876     0.19916384     0.31301916     0.55433935     1.08461306     1.68094278
     450       50     0.00060222     0.00030216     0.00044852     0.00070946     0.00115659     0.00178990
     450      100     0.00085708     0.00044975     0.00065453     0.00101890     0.00162824     0.00247806
     450      150     0.00182226     0.00097402     0.00138355     0.00211305     0.00328328     0.00492743
     450      200     0.00360718     0.00191836     0.00272646     0.00416231     0.00650229     0.00977451
     450      250     0.01088539     0.00589761     0.00844836     0.01301373     0.02058476     0.03140516
     450      267     0.01964887     0.01004478     0.01433015     0.02195872     0.03483002     0.05355192
     450      283     0.01341999     0.00736162     0.01070781     0.01668400     0.02665213     0.04076484
     450      300     0.01376423     0.00796766     0.01131913     0.01729487     0.02701204     0.04079735
     450      350     0.01278745     0.00812586     0.01165398     0.01792797     0.02865601     0.04420529
     500        1     0.41095343     0.12537562     0.21031845     0.41146308     0.82802273     1.24781021
     500       50     0.00051194     0.00025627     0.00037568     0.00059616     0.00097184     0.00150423
     500      100     0.00068714     0.00035091     0.00051058     0.00079477     0.00127021     0.00194224
     500      150     0.00107664     0.00056140     0.00080562     0.00123970     0.00195597     0.00296187
     500      200     0.00187526     0.00097519     0.00139850     0.00215120     0.00337778     0.00508401
     500      250     0.00357492     0.00187231     0.00268119     0.00412926     0.00649933     0.00985930
     500      300     0.01075617     0.00552794     0.00792560     0.01219644     0.01933947     0.02973766
     500      317     0.01972425     0.01075723     0.01528070     0.02333664     0.03663532     0.05567226
     500      333     0.01352218     0.00681988     0.00983431     0.01518974     0.02414752     0.03706040
     500      350     0.01079607     0.00586548     0.00845244     0.01307566     0.02078531     0.03188874
     500      400     0.01227341     0.00811978     0.01168209     0.01824426     0.02943599     0.04590630
     550        1     0.73462118     0.25107306     0.38401436     0.65575187     1.26225346     1.98860887
     550       50     0.00046818     0.00023159     0.00033976     0.00053890     0.00087839     0.00135988
     550      100     0.00056241     0.00027756     0.00040574     0.00063432     0.00102373     0.00156843
     550      150     0.00083578     0.00043235     0.00061985     0.00095446     0.00150599     0.00228043
     550      200     0.00128565     0.00068053     0.00096673     0.00147736     0.00230781     0.00348533
     550      250     0.00205031     0.00108455     0.00154074     0.00235329     0.00368574     0.00555701
     550      300     0.00365053     0.00182971     0.00262446     0.00403901     0.00637582     0.00970014
     550      350     0.00833908     0.00434639     0.00629172     0.00976747     0.01560347     0.02407858
     550      367     0.01582288     0.00843221     0.01212755     0.01894751     0.03057569     0.04769693
     550      383     0.01300834     0.00719425     0.01030234     0.01586648     0.02515815     0.03868812
     550      400     0.00998321     0.00570469     0.00825742     0.01281159     0.02048177     0.03160353
     550      450     0.01057760     0.00687815     0.00999176     0.01573078     0.02564660     0.04003213
     600        1     0.58088222     0.20450535     0.32180585     0.57544324     1.14889220     1.74500353
     600       50     0.00045076     0.00022420     0.00032547     0.00051235     0.00082687     0.00128363
     600      100     0.00047659     0.00023138     0.00033837     0.00052911     0.00085393     0.00132001
     600      150     0.00067517     0.00033684     0.00048558     0.00075011     0.00119260     0.00181344
     600      200     0.00091044     0.00047379     0.00067593     0.00103618     0.00162298     0.00245862
