# Contour T6tbLL_ctau200, Obs
# msbottom     mchi10
     400.0        7.6
     425.0       20.4
     444.0       25.0
     450.0       29.2
     475.0       39.9
     500.0       45.1
     525.0       47.7
     550.0       49.2
     573.1       50.0
     575.0       50.6
     600.0       55.0
     625.0       58.0
     650.0       60.1
     675.0       62.2
     700.0       64.7
     725.0       67.9
     750.0       70.8
     775.0       73.2
     800.0       74.9
     801.4       75.0
     825.0       82.0
     850.0       87.5
     875.0       91.7
     900.0       95.0
     925.0       97.5
     950.0       99.7
     954.7      100.0
     975.0      106.0
    1000.0      112.1
    1025.0      117.2
    1050.0      121.6
    1071.8      125.0
    1075.0      126.5
    1100.0      136.5
    1125.0      144.8
    1143.8      150.0
    1150.0      154.0
    1175.0      167.8
    1190.8      175.0
    1200.0      183.1
    1222.9      200.0
    1225.0      202.5
    1247.5      225.0
    1250.0      228.6
    1268.1      250.0
    1275.0      260.6
    1285.8      275.0
    1300.0      297.6
    1301.7      300.0
    1317.1      325.0
    1325.0      339.4
    1331.8      350.0
    1346.2      375.0
    1350.0      382.6
    1360.3      400.0
    1373.4      425.0
    1375.0      428.4
    1386.4      450.0
    1398.4      475.0
    1400.0      478.7
    1410.6      500.0
    1421.7      525.0
    1425.0      533.4
    1432.4      550.0
    1442.4      575.0
    1450.0      596.2
    1451.6      600.0
    1460.8      625.0
    1468.9      650.0
    1475.0      671.4
    1476.2      675.0
    1483.5      700.0
    1490.3      725.0
    1496.5      750.0
    1500.0      765.7
    1502.4      775.0
    1508.2      800.0
    1513.3      825.0
    1517.9      850.0
    1522.1      875.0
    1525.0      894.5
    1525.9      900.0
    1529.5      925.0
    1532.2      950.0
    1534.1      975.0
    1535.0     1000.0
    1534.9     1025.0
    1533.6     1050.0
    1530.6     1075.0
    1525.0     1099.4
    1524.9     1100.0
    1513.5     1125.0
    1500.0     1139.2
    1485.0     1150.0
    1475.0     1153.8
    1450.0     1158.6
    1425.0     1159.8
    1400.0     1159.1
    1375.0     1158.3
    1350.0     1158.5
    1325.0     1163.2
    1304.0     1175.0
    1300.0     1177.9
    1283.0     1200.0
    1275.0     1212.4
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
