# Contour T6tbLL_ctau200, ObsMinus
# msbottom     mchi10
     400.0        9.5
     425.0       21.3
     441.0       25.0
     450.0       31.1
     475.0       41.0
     500.0       45.7
     525.0       48.2
     550.0       49.5
     564.6       50.0
     575.0       52.9
     600.0       57.0
     625.0       59.8
     650.0       61.8
     675.0       63.7
     700.0       66.1
     725.0       69.0
     750.0       71.7
     775.0       73.9
     792.1       75.0
     800.0       77.8
     825.0       84.7
     850.0       89.7
     875.0       93.5
     900.0       96.5
     925.0       98.8
     940.2      100.0
     950.0      103.3
     975.0      109.9
    1000.0      115.5
    1025.0      120.1
    1050.0      124.2
    1055.9      125.0
    1075.0      133.1
    1100.0      142.1
    1125.0      149.5
    1126.8      150.0
    1150.0      163.6
    1173.3      175.0
    1175.0      176.6
    1200.0      196.5
    1205.3      200.0
    1225.0      221.2
    1229.2      225.0
    1248.7      250.0
    1250.0      252.2
    1266.5      275.0
    1275.0      289.2
    1282.4      300.0
    1297.3      325.0
    1300.0      330.1
    1312.0      350.0
    1325.0      374.1
    1325.6      375.0
    1339.5      400.0
    1350.0      421.3
    1352.2      425.0
    1364.9      450.0
    1375.0      472.0
    1376.6      475.0
    1388.3      500.0
    1398.8      525.0
    1400.0      528.4
    1409.3      550.0
    1418.9      575.0
    1425.0      593.0
    1427.7      600.0
    1436.4      625.0
    1443.9      650.0
    1450.0      672.7
    1450.7      675.0
    1457.7      700.0
    1464.1      725.0
    1470.0      750.0
    1475.0      773.9
    1475.3      775.0
    1480.6      800.0
    1485.3      825.0
    1489.4      850.0
    1493.0      875.0
    1496.2      900.0
    1498.9      925.0
    1500.0      939.0
    1501.0      950.0
    1502.3      975.0
    1502.4     1000.0
    1500.9     1025.0
    1500.0     1031.6
    1497.6     1050.0
    1491.2     1075.0
    1478.4     1100.0
    1475.0     1103.7
    1450.0     1122.4
    1444.1     1125.0
    1425.0     1129.6
    1400.0     1131.5
    1375.0     1131.5
    1350.0     1130.7
    1325.0     1131.0
    1300.0     1135.7
    1275.2     1150.0
    1275.0     1150.1
    1256.7     1175.0
    1250.0     1186.1
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
