msbottom     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     400        1     4.06995946     0.89422824     1.81869046     5.72352585    11.51798527    17.35779567
     400       50     0.00607038     0.00327833     0.00455886     0.00676737     0.01030100     0.01523875
     400      100     0.00223944     0.00125518     0.00183476     0.00286932     0.00458405     0.00707499
     400      150     0.00153289     0.00077873     0.00117655     0.00193531     0.00327774     0.00525298
     400      200     0.00245924     0.00127628     0.00193775     0.00320305     0.00547566     0.00893946
     400      217     0.00354461     0.00188100     0.00285698     0.00472023     0.00814950     0.01333998
     400      233     0.00304298     0.00158926     0.00241269     0.00398840     0.00681789     0.01117226
     400      250     0.00260095     0.00139555     0.00208483     0.00339889     0.00575536     0.00933422
     400      300     0.00328724     0.00184031     0.00271600     0.00432712     0.00718679     0.01142839
     450       50     0.00572178     0.00329605     0.00458389     0.00680381     0.01035860     0.01536590
     450      100     0.00201072     0.00116848     0.00167560     0.00257887     0.00405916     0.00615754
     450      150     0.00114854     0.00060395     0.00089863     0.00145885     0.00243662     0.00387464
     450      200     0.00105716     0.00053482     0.00081160     0.00134122     0.00229329     0.00374377
     450      250     0.00180182     0.00093316     0.00141870     0.00234237     0.00404367     0.00666675
     450      267     0.00284337     0.00147366     0.00225023     0.00373307     0.00643885     0.01054492
     450      283     0.00238979     0.00124108     0.00187604     0.00308537     0.00527601     0.00858362
     450      300     0.00225661     0.00117215     0.00175969     0.00288215     0.00488153     0.00788645
     450      350     0.00273180     0.00153832     0.00225495     0.00357774     0.00591620     0.00944545
     500       50     0.00599845     0.00327135     0.00450752     0.00664403     0.01011225     0.01496138
     500      100     0.00201059     0.00114540     0.00162578     0.00248451     0.00389076     0.00586519
     500      150     0.00105413     0.00057508     0.00084643     0.00136344     0.00224337     0.00353535
     500      200     0.00079086     0.00040681     0.00061071     0.00100070     0.00169455     0.00273682
     500      250     0.00080671     0.00040901     0.00062079     0.00102657     0.00177104     0.00288815
     500      300     0.00156718     0.00078603     0.00120015     0.00199105     0.00343480     0.00566458
     500      317     0.00241240     0.00120222     0.00183650     0.00304402     0.00525472     0.00866498
     500      333     0.00204645     0.00101769     0.00155530     0.00258184     0.00445572     0.00729420
     500      350     0.00179153     0.00095498     0.00143373     0.00235092     0.00401646     0.00653368
     500      400     0.00225050     0.00131029     0.00193043     0.00307568     0.00511363     0.00812930
     550       50     0.00587137     0.00319203     0.00444046     0.00658973     0.01008590     0.01510278
     550      100     0.00218497     0.00122445     0.00173423     0.00261280     0.00406020     0.00609332
     550      150     0.00118289     0.00065029     0.00094449     0.00148623     0.00239825     0.00370694
     550      200     0.00076137     0.00039809     0.00059604     0.00097238     0.00162281     0.00259083
     550      250     0.00062641     0.00031733     0.00048217     0.00079703     0.00136245     0.00221553
     550      300     0.00070840     0.00034994     0.00053450     0.00088728     0.00153109     0.00250639
     550      350     0.00138586     0.00069507     0.00106187     0.00176265     0.00304289     0.00501677
     550      367     0.00199321     0.00104185     0.00158234     0.00261441     0.00451224     0.00738833
     550      383     0.00172148     0.00090293     0.00137128     0.00226577     0.00387333     0.00630154
     550      400     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     550      450     0.00195459     0.00108371     0.00159842     0.00256703     0.00426535     0.00683673
     600       50     0.00605504     0.00309899     0.00428573     0.00640027     0.00984450     0.01476675
     600      100     0.00234444     0.00128982     0.00180961     0.00270636     0.00419379     0.00630626
     600      150     0.00122678     0.00067173     0.00097759     0.00152180     0.00243188     0.00375283
     600      200     0.00077030     0.00040288     0.00060029     0.00096368     0.00159378     0.00252362
     600      250     0.00057674     0.00030073     0.00045151     0.00073988     0.00125400     0.00202518
     600      300     0.00052839     0.00026965     0.00040619     0.00067653     0.00115644     0.00189578
     600      350     0.00064472     0.00032271     0.00049298     0.00081775     0.00141166     0.00231112
     600      400     0.00125579     0.00062393     0.00095308     0.00158097     0.00272836     0.00448382
     600      417     0.00185008     0.00094819     0.00143993     0.00237931     0.00410590     0.00677187
     600      433     0.00154395     0.00077626     0.00118581     0.00196549     0.00337750     0.00555205
     600      450     0.00141911     0.00073500     0.00111167     0.00182835     0.00312733     0.00508598
     600      500     0.00174048     0.00095726     0.00142643     0.00229100     0.00380635     0.00612761
     650       50     0.00684338     0.00368309     0.00511932     0.00760115     0.01172187     0.01755196
     650      100     0.00236752     0.00129559     0.00181712     0.00271796     0.00421247     0.00633365
     650      150     0.00127520     0.00069269     0.00099301     0.00152849     0.00242475     0.00372749
     650      200     0.00079406     0.00041907     0.00062114     0.00099342     0.00163490     0.00257678
     650      250     0.00057932     0.00030329     0.00045535     0.00074625     0.00125201     0.00200736
     650      300     0.00047210     0.00023949     0.00036421     0.00060141     0.00102836     0.00167262
     650      350     0.00048936     0.00024676     0.00037707     0.00062591     0.00107022     0.00175436
     650      400     0.00055074     0.00027695     0.00042335     0.00070221     0.00120668     0.00198368
     650      450     0.00107582     0.00052674     0.00081010     0.00134860     0.00232801     0.00383886
     650      467     0.00157594     0.00081659     0.00124587     0.00206818     0.00356780     0.00588591
     650      483     0.00133907     0.00069358     0.00105424     0.00174228     0.00297963     0.00488281
     650      500     0.00128553     0.00066513     0.00100353     0.00165310     0.00282389     0.00459562
     650      550     0.00159058     0.00085209     0.00128108     0.00207637     0.00348281     0.00562578
     700        1     4.52676116     1.02659686     2.08732933     6.56857635    13.21869888    19.92065696
     700       50     0.00634982     0.00333619     0.00468023     0.00700093     0.01085085     0.01647489
     700      100     0.00263136     0.00138115     0.00193762     0.00289745     0.00449189     0.00675262
     700      150     0.00131889     0.00069985     0.00100868     0.00155788     0.00248986     0.00384230
     700      200     0.00085977     0.00046140     0.00068139     0.00107408     0.00175043     0.00273374
     700      250     0.00059116     0.00030717     0.00046237     0.00074828     0.00125573     0.00199693
     700      300     0.00047092     0.00023851     0.00036251     0.00059898     0.00101909     0.00165195
     700      350     0.00041096     0.00021128     0.00032120     0.00053064     0.00090313     0.00147530
     700      400     0.00043859     0.00022442     0.00033856     0.00056362     0.00096373     0.00157865
     700      450     0.00058020     0.00029043     0.00043988     0.00073618     0.00127005     0.00208716
     700      500     0.00101165     0.00051906     0.00079298     0.00131549     0.00227995     0.00377038
     700      517     0.00148781     0.00074562     0.00113996     0.00189247     0.00327868     0.00540535
     700      533     0.00120230     0.00062080     0.00094298     0.00155749     0.00266235     0.00436444
     700      550     0.00119206     0.00062466     0.00094220     0.00155124     0.00265134     0.00431189
     700      600     0.00139199     0.00074996     0.00112029     0.00182559     0.00307801     0.00499292
     750       50     0.00688618     0.00361003     0.00504092     0.00751220     0.01161111     0.01753144
     750      100     0.00271142     0.00145872     0.00203467     0.00306142     0.00475716     0.00721051
     750      150     0.00137393     0.00074808     0.00106804     0.00163758     0.00259044     0.00397141
     750      200     0.00092708     0.00050095     0.00073257     0.00114554     0.00184878     0.00285786
     750      250     0.00060545     0.00032211     0.00047989     0.00077033     0.00127424     0.00201727
     750      300     0.00046928     0.00024261     0.00036716     0.00059679     0.00100114     0.00160442
     750      350     0.00040672     0.00020666     0.00031548     0.00052324     0.00089479     0.00145541
     750      400     0.00040367     0.00020534     0.00031209     0.00051568     0.00088143     0.00144436
     750      450     0.00040166     0.00020504     0.00031327     0.00051951     0.00089652     0.00146834
     750      500     0.00052675     0.00025536     0.00038857     0.00065332     0.00112701     0.00187208
     750      550     0.00095802     0.00048328     0.00073825     0.00122366     0.00211233     0.00348322
     750      567     0.00145229     0.00074015     0.00111422     0.00185637     0.00320263     0.00528104
     750      583     0.00109536     0.00056333     0.00086064     0.00142866     0.00246456     0.00409508
     750      600     0.00099948     0.00051913     0.00078317     0.00128888     0.00219437     0.00358320
     750      650     0.00128536     0.00071660     0.00106621     0.00173237     0.00290641     0.00469618
     800       50     0.00723807     0.00383027     0.00534312     0.00803954     0.01249421     0.01893702
     800      100     0.00301411     0.00160933     0.00225383     0.00340390     0.00533097     0.00811610
     800      150     0.00154242     0.00085352     0.00120855     0.00182076     0.00284419     0.00433768
     800      200     0.00099598     0.00053738     0.00077801     0.00120640     0.00193748     0.00300630
     800      250     0.00070645     0.00037346     0.00055371     0.00088562     0.00145714     0.00228718
     800      300     0.00048726     0.00025170     0.00038131     0.00061956     0.00103959     0.00166023
     800      350     0.00039838     0.00020234     0.00030931     0.00051310     0.00087663     0.00142071
     800      400     0.00036996     0.00018925     0.00028886     0.00047953     0.00081961     0.00133804
     800      450     0.00034992     0.00017593     0.00027066     0.00045094     0.00077766     0.00127354
     800      500     0.00038831     0.00019626     0.00030008     0.00049814     0.00085944     0.00141280
     800      550     0.00048331     0.00023945     0.00036771     0.00061267     0.00105744     0.00174387
     800      600     0.00084755     0.00042057     0.00064092     0.00107612     0.00187339     0.00310768
     800      617     0.00119462     0.00060195     0.00092537     0.00154125     0.00267242     0.00441948
     800      633     0.00105355     0.00052133     0.00079084     0.00132306     0.00227180     0.00373506
     800      650     0.00094744     0.00049382     0.00075077     0.00124028     0.00212025     0.00347537
     800      700     0.00123919     0.00066169     0.00099506     0.00161129     0.00271579     0.00438768
     850       50     0.00686881     0.00367073     0.00509790     0.00764224     0.01187770     0.01800378
     850      100     0.00339384     0.00173335     0.00241674     0.00363667     0.00566488     0.00865632
     850      150     0.00167675     0.00089177     0.00125481     0.00190196     0.00298657     0.00458243
     850      200     0.00102516     0.00057036     0.00082184     0.00126968     0.00202892     0.00313112
     850      250     0.00070670     0.00037000     0.00054501     0.00086840     0.00141531     0.00222901
     850      300     0.00048428     0.00025065     0.00037929     0.00061670     0.00102956     0.00164390
     850      350     0.00040659     0.00021048     0.00032035     0.00052878     0.00089584     0.00144669
     850      400     0.00034561     0.00017469     0.00026834     0.00044681     0.00076428     0.00124301
     850      450     0.00033233     0.00017200     0.00026317     0.00043652     0.00074953     0.00122332
     850      500     0.00031304     0.00015784     0.00024289     0.00040468     0.00069799     0.00114300
     850      550     0.00036614     0.00018555     0.00028356     0.00047021     0.00081157     0.00133904
     850      600     0.00048664     0.00024363     0.00037199     0.00061749     0.00106549     0.00175775
     850      650     0.00087833     0.00044374     0.00068134     0.00113523     0.00197701     0.00327979
     850      667     0.00118550     0.00060081     0.00092319     0.00153865     0.00267872     0.00442839
     850      683     0.00102241     0.00051601     0.00078087     0.00130649     0.00225479     0.00371772
     850      700     0.00094022     0.00048503     0.00073725     0.00121631     0.00209982     0.00343851
     850      750     0.00110146     0.00060634     0.00090070     0.00146364     0.00245522     0.00396769
     900       50     0.00808959     0.00419870     0.00589312     0.00881278     0.01376754     0.02099647
     900      100     0.00343203     0.00191763     0.00269275     0.00402494     0.00625620     0.00948213
     900      150     0.00190093     0.00100967     0.00142020     0.00215335     0.00337218     0.00513414
     900      200     0.00108293     0.00060067     0.00086072     0.00132515     0.00211775     0.00326772
     900      250     0.00076513     0.00041700     0.00060994     0.00095335     0.00153876     0.00240013
     900      300     0.00060393     0.00031571     0.00047038     0.00075516     0.00124272     0.00197529
     900      350     0.00045084     0.00023518     0.00035385     0.00057927     0.00097213     0.00155845
     900      400     0.00037431     0.00019506     0.00029619     0.00048934     0.00082818     0.00134819
     900      450     0.00033337     0.00016933     0.00026010     0.00043310     0.00074408     0.00121462
     900      500     0.00032398     0.00016589     0.00025499     0.00042499     0.00073336     0.00120064
     900      550     0.00032101     0.00016345     0.00025154     0.00041908     0.00071965     0.00118322
     900      600     0.00033338     0.00017124     0.00025953     0.00043398     0.00074863     0.00122970
     900      650     0.00041128     0.00020638     0.00031549     0.00052335     0.00090254     0.00149403
     900      700     0.00078867     0.00039389     0.00060462     0.00100740     0.00175428     0.00290928
     900      717     0.00124518     0.00064095     0.00098439     0.00164187     0.00283195     0.00467033
     900      733     0.00095733     0.00048866     0.00074112     0.00123853     0.00213711     0.00351186
     900      750     0.00099356     0.00050890     0.00076789     0.00126467     0.00216130     0.00353048
     900      800     0.00112092     0.00059963     0.00090665     0.00149189     0.00252486     0.00411110
     950       50     0.00890831     0.00459629     0.00638069     0.00956590     0.01482663     0.02251565
     950      100     0.00368602     0.00184234     0.00258436     0.00386518     0.00599096     0.00909674
     950      150     0.00181625     0.00104531     0.00146497     0.00221198     0.00344618     0.00521457
     950      200     0.00123769     0.00066488     0.00094486     0.00144272     0.00227677     0.00348074
     950      250     0.00084599     0.00044732     0.00065053     0.00101347     0.00162697     0.00252463
     950      300     0.00064539     0.00032470     0.00048326     0.00077634     0.00127786     0.00202258
     950      350     0.00049113     0.00025089     0.00038247     0.00062430     0.00104725     0.00167209
     950      400     0.00040137     0.00020352     0.00030907     0.00051071     0.00086522     0.00139722
     950      450     0.00034034     0.00017274     0.00026523     0.00044192     0.00075577     0.00122892
     950      500     0.00029574     0.00015049     0.00023115     0.00038548     0.00066167     0.00108416
     950      550     0.00029463     0.00014801     0.00022846     0.00038274     0.00066031     0.00108867
     950      600     0.00030275     0.00015422     0.00023660     0.00039447     0.00068058     0.00111401
     950      650     0.00033109     0.00016704     0.00025652     0.00042703     0.00073724     0.00121548
     950      700     0.00043296     0.00021596     0.00033180     0.00055299     0.00095398     0.00157302
     950      750     0.00071978     0.00036566     0.00056180     0.00093633     0.00162239     0.00268386
     950      767     0.00110476     0.00056336     0.00085893     0.00144278     0.00251388     0.00416883
     950      783     0.00094954     0.00047999     0.00073191     0.00121488     0.00209734     0.00347172
     950      800     0.00086662     0.00044035     0.00066948     0.00110599     0.00189069     0.00307605
     950      850     0.00100519     0.00053736     0.00080676     0.00132239     0.00223924     0.00361812
    1000       50     0.00977525     0.00519624     0.00721378     0.01081295     0.01684630     0.02573815
    1000      100     0.00352020     0.00186896     0.00261399     0.00392028     0.00607764     0.00922885
    1000      150     0.00188810     0.00101934     0.00142766     0.00215670     0.00336862     0.00511193
    1000      200     0.00123468     0.00066970     0.00095137     0.00145351     0.00229353     0.00350562
    1000      250     0.00093458     0.00050578     0.00073309     0.00114536     0.00182989     0.00284972
    1000      300     0.00065613     0.00034355     0.00050779     0.00079999     0.00130371     0.00203564
    1000      350     0.00052404     0.00027192     0.00040905     0.00066259     0.00110133     0.00175120
    1000      400     0.00041005     0.00021077     0.00032265     0.00052942     0.00088803     0.00142894
    1000      450     0.00035370     0.00017850     0.00027230     0.00045204     0.00077268     0.00125695
    1000      500     0.00029723     0.00014927     0.00023057     0.00038601     0.00066569     0.00109008
    1000      550     0.00027689     0.00013922     0.00021519     0.00036030     0.00062168     0.00102539
    1000      600     0.00028229     0.00014215     0.00021841     0.00036424     0.00062847     0.00102883
    1000      650     0.00028728     0.00014558     0.00022473     0.00037597     0.00064911     0.00107031
    1000      700     0.00032706     0.00016507     0.00025375     0.00042292     0.00072998     0.00120365
    1000      750     0.00042330     0.00021224     0.00032652     0.00054400     0.00093815     0.00154745
    1000      800     0.00072558     0.00036367     0.00055861     0.00093014     0.00160590     0.00266717
