# Percent efficiencies for sum of all SR bins, each SR bin, SR bin groups:
      mg   mchi10    xsec (pb)      all SRs          SR1          SR2          SR3          SR4          SR5          SR6          SR7          SR8          SR9         SR10         SR11         SR12         SR13         SR14         SR15         SR16         SR17         SR18         SR19         SR20         SR21         SR22         SR23         SR24         SR25         SR26         SR27         SR28         SR29         SR30         SR31         SR32         SR33         SR34         SR35         SR36         SR37         SR38         SR39         SR40         SR41         SR42         SR43         SR44         SR45         SR46         SR47         SR48         SR49    hadronSRs    leptonSRs     shortSRs      longSRs      1DTkSRs  multiDTkSRs 
    1000        1    3.850e-01      0.01379      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00051      0.00127      0.00000      0.00058      0.00000      0.00000      0.00000      0.00000      0.00116      0.00369      0.00013      0.00010      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00263      0.00053      0.00013      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00235      0.00000      0.00070      0.00000      0.00000      0.00744      0.00634      0.01215      0.00164      0.01379      0.00000 
    1000      200    3.850e-01      5.22866      0.00000      0.00000      0.00000      0.00000      0.00778      0.00038      0.00446      0.00057      0.00000      0.00000      0.00000      0.00000      0.34767      0.03294      0.23963      0.05655      0.00000      0.00000      0.00040      0.00000      1.67838      0.10596      0.90777      0.12592      0.00069      0.00000      0.00048      0.00072      0.00194      0.00012      0.00092      0.00018      0.29774      0.01301      0.14900      0.02968      0.00121      0.00000      0.00030      0.00007      0.00585      0.00014      0.00206      0.00065      0.45881      0.03182      0.26827      0.04195      0.41464      3.50842      1.30560      2.98445      1.82957      4.81402      0.41464 
    1000      400    3.850e-01      2.58702      0.00000      0.00000      0.00000      0.00000      0.00216      0.00066      0.00202      0.00140      0.00000      0.00000      0.00000      0.00019      0.13572      0.06979      0.13476      0.12502      0.00101      0.00016      0.00031      0.00000      0.50373      0.15762      0.44136      0.29476      0.00000      0.00000      0.00032      0.00055      0.00018      0.00151      0.00009      0.00042      0.08177      0.02896      0.06553      0.04072      0.00029      0.00000      0.00001      0.00017      0.00168      0.00169      0.00071      0.00344      0.12695      0.05056      0.12441      0.09032      0.09607      1.87068      0.62028      1.16444      1.32651      2.49095      0.09607 
    1000      600    3.850e-01      1.17309      0.00000      0.00000      0.00000      0.00022      0.00191      0.00019      0.00122      0.00341      0.00000      0.00000      0.00000      0.00167      0.07212      0.07436      0.10183      0.17802      0.00000      0.00000      0.00000      0.00003      0.09944      0.07092      0.12981      0.15315      0.00000      0.00000      0.00026      0.00075      0.00000      0.00181      0.00010      0.00114      0.02158      0.01334      0.02247      0.03322      0.00000      0.00000      0.00012      0.00235      0.00214      0.00091      0.00073      0.00260      0.02487      0.02214      0.03754      0.06441      0.03233      0.88830      0.25246      0.40572      0.73504      1.14076      0.03233 
    1000      800    3.850e-01      0.29148      0.00018      0.00027      0.00050      0.00062      0.00099      0.00424      0.00809      0.01476      0.00010      0.00000      0.00000      0.00020      0.01495      0.02239      0.01865      0.04464      0.00000      0.00033      0.00000      0.00026      0.01233      0.01834      0.01400      0.03740      0.00044      0.00000      0.00013      0.00354      0.00000      0.00040      0.00140      0.00105      0.00450      0.00140      0.00736      0.00987      0.00000      0.00024      0.00011      0.00103      0.00022      0.00150      0.00000      0.00167      0.00315      0.00735      0.00830      0.01654      0.00807      0.21323      0.07018      0.09333      0.19009      0.28341      0.00807 
    1100      800    1.910e-01      0.63266      0.00000      0.00038      0.00000      0.00097      0.00061      0.00348      0.00047      0.00878      0.00167      0.00000      0.00000      0.00024      0.03622      0.05591      0.05652      0.15541      0.00000      0.00000      0.00000      0.00000      0.02783      0.03795      0.03444      0.07261      0.00000      0.00019      0.00000      0.00004      0.00000      0.00072      0.00145      0.00052      0.00804      0.00533      0.00456      0.02123      0.00022      0.00102      0.00008      0.00397      0.00052      0.00071      0.00066      0.00246      0.00627      0.01780      0.01175      0.03092      0.02072      0.49348      0.11846      0.20486      0.40708      0.61194      0.02072 
    1100      900    1.910e-01      0.28654      0.00036      0.00000      0.00099      0.00121      0.00084      0.00334      0.00507      0.01076      0.00000      0.00002      0.00035      0.00039      0.00936      0.01954      0.01890      0.05163      0.00000      0.00000      0.00021      0.00099      0.01044      0.01639      0.01221      0.04231      0.00000      0.00031      0.00271      0.00105      0.00000      0.00183      0.00037      0.00088      0.00562      0.00442      0.00335      0.01564      0.00127      0.00056      0.00015      0.00076      0.00057      0.00054      0.00029      0.00123      0.00322      0.00497      0.00948      0.01718      0.00480      0.20534      0.07641      0.08361      0.19814      0.28174      0.00480 
    1200        1    9.850e-02      0.01272      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00321      0.00000      0.00000      0.00084      0.00000      0.00000      0.00000      0.00000      0.00163      0.00009      0.00000      0.00000      0.00000      0.00000      0.00045      0.00000      0.00000      0.00000      0.00000      0.00000      0.00407      0.00000      0.00000      0.00052      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00144      0.00047      0.00000      0.00000      0.00000      0.00577      0.00695      0.01092      0.00181      0.01272      0.00000 
    1200      200    9.850e-02      6.13741      0.00000      0.00000      0.00000      0.00000      0.01085      0.00059      0.00429      0.00053      0.00000      0.00000      0.00000      0.00000      0.33528      0.01646      0.17399      0.01918      0.00076      0.00000      0.00000      0.00000      2.28342      0.08288      1.01533      0.10350      0.00796      0.00000      0.00032      0.00000      0.00000      0.00039      0.00462      0.00000      0.32750      0.01652      0.17084      0.01859      0.00212      0.00030      0.00055      0.00000      0.00929      0.00040      0.00174      0.00003      0.60330      0.03122      0.27447      0.04159      0.57860      4.04705      1.51175      3.72922      1.82958      5.55880      0.57860 
    1200      400    9.850e-02      3.64102      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00102      0.00112      0.00000      0.00000      0.00023      0.00000      0.11342      0.02284      0.12284      0.06815      0.00061      0.00000      0.00048      0.00000      0.91984      0.18338      0.69381      0.34361      0.00000      0.00000      0.00031      0.00000      0.00217      0.00001      0.00017      0.00046      0.13822      0.04917      0.09063      0.05599      0.00000      0.00000      0.00023      0.00118      0.00342      0.00286      0.00039      0.00045      0.30258      0.04610      0.17973      0.12242      0.17321      2.47134      0.99647      1.78460      1.68321      3.46782      0.17321 
    1200      600    9.850e-02      1.95626      0.00000      0.00000      0.00000      0.00000      0.00000      0.00277      0.00032      0.00055      0.00000      0.00085      0.00000      0.00030      0.03498      0.03535      0.06470      0.13049      0.00000      0.00000      0.00308      0.00000      0.31202      0.20258      0.30844      0.35903      0.00061      0.00000      0.00000      0.00000      0.00000      0.00354      0.00109      0.00030      0.02814      0.02250      0.04268      0.06725      0.00000      0.00000      0.00000      0.00018      0.00264      0.00000      0.00064      0.00045      0.04954      0.03525      0.06621      0.11576      0.06399      1.45548      0.43679      0.73078      1.16149      1.89227      0.06399 
    1200      800    9.850e-02      0.97597      0.00000      0.00000      0.00000      0.00000      0.00203      0.00101      0.00137      0.00363      0.00000      0.00000      0.00000      0.00000      0.02397      0.06250      0.06034      0.15410      0.00000      0.00071      0.00000      0.00026      0.06647      0.04938      0.08783      0.19406      0.00044      0.00000      0.00000      0.00095      0.00000      0.00220      0.00017      0.00048      0.01746      0.01423      0.02085      0.03700      0.00000      0.00000      0.00016      0.00020      0.00000      0.00376      0.00068      0.00339      0.02464      0.02924      0.02647      0.06675      0.01924      0.70766      0.24907      0.29803      0.65870      0.95673      0.01924 
    1200      900    9.850e-02      0.62232      0.00000      0.00000      0.00000      0.00082      0.00000      0.00173      0.00112      0.01210      0.00000      0.00000      0.00351      0.00023      0.02816      0.05009      0.05025      0.15713      0.00000      0.00000      0.00000      0.00000      0.02140      0.02364      0.03160      0.08515      0.00000      0.00000      0.00053      0.00094      0.00000      0.00000      0.00000      0.00278      0.00391      0.01773      0.00261      0.03392      0.00000      0.00000      0.00094      0.00000      0.00000      0.00314      0.00017      0.00162      0.01126      0.01770      0.00788      0.03910      0.01115      0.46693      0.14425      0.17876      0.43242      0.61118      0.01115 
    1200     1000    9.850e-02      0.31366      0.00000      0.00000      0.00000      0.00064      0.00191      0.00387      0.00682      0.00785      0.00000      0.00000      0.00000      0.00089      0.00925      0.02674      0.01934      0.05205      0.00000      0.00336      0.00008      0.00000      0.00329      0.01577      0.02312      0.05562      0.00053      0.00000      0.00000      0.00208      0.00000      0.00034      0.00000      0.00236      0.00097      0.00747      0.00194      0.00974      0.00000      0.00059      0.00034      0.00223      0.00000      0.00047      0.00000      0.00031      0.00843      0.00848      0.00688      0.02531      0.00460      0.23059      0.07848      0.09147      0.21760      0.30907      0.00460 
    1300      800    5.220e-02      1.39583      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.03697      0.05653      0.08203      0.14106      0.00000      0.00000      0.00000      0.00000      0.11301      0.11464      0.16510      0.31708      0.00000      0.00151      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.02361      0.03230      0.03520      0.05471      0.00000      0.00000      0.00000      0.00000      0.00000      0.00110      0.00000      0.00000      0.01957      0.03530      0.04105      0.09174      0.03331      1.02642      0.33610      0.43455      0.92797      1.36252      0.03331 
    1300      900    5.220e-02      0.91200      0.00000      0.00000      0.00000      0.00000      0.00000      0.00172      0.00000      0.01004      0.00000      0.00000      0.00000      0.00000      0.01190      0.05583      0.06146      0.13330      0.00178      0.00000      0.00000      0.00000      0.06181      0.07197      0.07584      0.19103      0.00000      0.00000      0.00000      0.00000      0.00000      0.00647      0.00000      0.00036      0.00302      0.01850      0.00701      0.02937      0.00000      0.00000      0.00000      0.00000      0.00000      0.00091      0.00000      0.00099      0.02170      0.04647      0.02761      0.05331      0.01960      0.67666      0.21574      0.30207      0.59034      0.89240      0.01960 
    1300     1000    5.220e-02      0.61754      0.00000      0.00000      0.00000      0.00000      0.00097      0.00433      0.00459      0.00465      0.00000      0.00032      0.00000      0.00000      0.02185      0.05469      0.05607      0.15993      0.00000      0.00000      0.00000      0.00000      0.01889      0.02834      0.01880      0.10686      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00057      0.00048      0.00922      0.01137      0.00039      0.01524      0.00000      0.00041      0.00000      0.00148      0.00000      0.00000      0.00000      0.00045      0.00548      0.02770      0.00664      0.02975      0.02808      0.48029      0.10917      0.18356      0.40590      0.58946      0.02808 
    1300     1100    5.220e-02      0.23323      0.00044      0.00000      0.00000      0.00166      0.00102      0.00127      0.00088      0.00680      0.00000      0.00000      0.00000      0.00231      0.00685      0.01014      0.00839      0.05697      0.00000      0.00000      0.00000      0.00000      0.01333      0.01082      0.00625      0.02908      0.00000      0.00000      0.00000      0.00124      0.00000      0.00000      0.00000      0.00000      0.01037      0.01023      0.00106      0.01095      0.00000      0.00000      0.00000      0.00062      0.00000      0.00000      0.00000      0.00288      0.00566      0.00215      0.00097      0.02094      0.00995      0.15621      0.06707      0.07227      0.15101      0.22328      0.00995 
    1400        1    2.840e-02      0.01021      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00005      0.00083      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00040      0.00000      0.00000      0.00062      0.00000      0.00118      0.00000      0.00393      0.00000      0.00000      0.00000      0.00124      0.00005      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00158      0.00000      0.00033      0.00000      0.00000      0.00129      0.00892      0.00870      0.00151      0.01021      0.00000 
    1400      200    2.840e-02      6.76904      0.00000      0.00000      0.00000      0.00000      0.00169      0.00000      0.01193      0.00000      0.00000      0.00000      0.00000      0.00000      0.26163      0.00512      0.12397      0.02065      0.00101      0.00000      0.00000      0.00000      2.74792      0.05683      1.00028      0.06501      0.00000      0.00000      0.00012      0.00044      0.00423      0.00000      0.00155      0.00000      0.37698      0.01121      0.20897      0.02205      0.00081      0.00000      0.00000      0.00000      0.01616      0.00000      0.00120      0.00000      0.78218      0.02026      0.31110      0.02945      0.68628      4.29605      1.78671      4.28603      1.79673      6.08276      0.68628 
    1400      400    2.840e-02      4.37926      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00038      0.00123      0.00000      0.00000      0.00000      0.00000      0.09470      0.03742      0.08367      0.05102      0.00107      0.00000      0.00154      0.00000      1.22464      0.19431      0.92210      0.28256      0.00000      0.00066      0.00000      0.00000      0.00072      0.00000      0.00125      0.00000      0.21355      0.02755      0.14334      0.03670      0.00000      0.00000      0.00000      0.00000      0.00160      0.00000      0.00026      0.00269      0.38508      0.06140      0.20401      0.11507      0.29073      2.89465      1.19387      2.24271      1.84582      4.08852      0.29073 
    1400      600    2.840e-02      2.72133      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00165      0.00000      0.00000      0.00000      0.00000      0.06167      0.03272      0.04400      0.06806      0.00000      0.00584      0.00000      0.00000      0.53671      0.25624      0.52186      0.40384      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.04957      0.06207      0.05887      0.05887      0.00000      0.00000      0.00072      0.00810      0.00000      0.00000      0.00000      0.00386      0.13270      0.05572      0.10730      0.17428      0.07669      1.93259      0.71204      1.19323      1.45140      2.64464      0.07669 
