# Percent efficiencies for sum of all SR bins, each SR bin, SR bin groups:
   mstop   mchi10    xsec (pb)      all SRs          SR1          SR2          SR3          SR4          SR5          SR6          SR7          SR8          SR9         SR10         SR11         SR12         SR13         SR14         SR15         SR16         SR17         SR18         SR19         SR20         SR21         SR22         SR23         SR24         SR25         SR26         SR27         SR28         SR29         SR30         SR31         SR32         SR33         SR34         SR35         SR36         SR37         SR38         SR39         SR40         SR41         SR42         SR43         SR44         SR45         SR46         SR47         SR48         SR49    hadronSRs    leptonSRs     shortSRs      longSRs      1DTkSRs  multiDTkSRs 
     400        1    2.150e+00      0.00159      0.00068      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00031      0.00000      0.00000      0.00000      0.00060      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00159      0.00000      0.00068      0.00091      0.00159      0.00000 
     400       50    2.150e+00      1.90265      0.01468      0.00023      0.00097      0.00050      0.06000      0.00000      0.00460      0.00000      0.12389      0.00145      0.01180      0.00000      0.68575      0.01615      0.06904      0.00617      0.13713      0.00203      0.01201      0.00000      0.36188      0.00335      0.01981      0.00000      0.00445      0.00053      0.00199      0.00000      0.01363      0.00000      0.00272      0.00000      0.20357      0.00343      0.01956      0.00000      0.00048      0.00000      0.00000      0.00000      0.00075      0.00000      0.00000      0.00000      0.06168      0.00121      0.00718      0.00000      0.05005      1.53142      0.32118      1.69627      0.15634      1.85260      0.05005 
     400      100    2.150e+00      3.29728      0.02807      0.00558      0.00476      0.00028      0.10707      0.01208      0.01796      0.00455      0.24913      0.03555      0.02887      0.00648      1.15543      0.20336      0.14924      0.03710      0.11836      0.03520      0.01740      0.00133      0.43950      0.09372      0.05578      0.00519      0.00059      0.00315      0.00093      0.00056      0.02060      0.00421      0.00000      0.00059      0.14617      0.02960      0.02273      0.00535      0.00068      0.00000      0.00000      0.00000      0.00049      0.00000      0.00000      0.00000      0.07413      0.00164      0.00720      0.00320      0.16347      2.81200      0.32181      2.76431      0.36950      3.13381      0.16347 
     400      150    2.150e+00      4.28083      0.03428      0.02143      0.00550      0.00949      0.12718      0.07185      0.03175      0.01555      0.28183      0.19137      0.02878      0.03210      1.09912      0.62096      0.15401      0.11385      0.11428      0.04346      0.01223      0.01405      0.38828      0.12207      0.04563      0.02515      0.00049      0.00000      0.00018      0.00000      0.00698      0.00207      0.00000      0.00081      0.12983      0.04339      0.01988      0.00656      0.00122      0.00524      0.00000      0.00036      0.00141      0.01041      0.00034      0.00029      0.05006      0.04070      0.00686      0.00403      0.34553      3.60419      0.33110      3.40790      0.52739      3.93529      0.34553 
     400      200    2.150e+00      4.02458      0.04246      0.04488      0.00276      0.00699      0.09609      0.09082      0.02252      0.02828      0.28121      0.27834      0.02338      0.06968      0.75309      0.83237      0.11613      0.13478      0.03259      0.04447      0.00882      0.01408      0.22964      0.14095      0.05125      0.02176      0.00169      0.00391      0.00000      0.00096      0.00000      0.01090      0.00000      0.00116      0.05895      0.04298      0.00922      0.01403      0.00082      0.00450      0.00000      0.00000      0.00031      0.00181      0.00062      0.00000      0.04997      0.05432      0.00393      0.00402      0.39313      3.36734      0.26411      3.09707      0.53438      3.63145      0.39313 
     400      217    2.150e+00      3.83205      0.01914      0.03605      0.00378      0.00280      0.09628      0.09113      0.01188      0.00853      0.18648      0.30238      0.02517      0.06435      0.70779      0.78688      0.11275      0.13755      0.04316      0.02423      0.00789      0.00689      0.24313      0.18857      0.03317      0.04081      0.00403      0.00902      0.00000      0.00000      0.00103      0.00514      0.00000      0.00000      0.03953      0.04860      0.00334      0.00867      0.00000      0.00001      0.00000      0.00000      0.00495      0.00201      0.00347      0.00058      0.03078      0.03953      0.00122      0.00354      0.44582      3.18078      0.20545      2.90984      0.47640      3.38624      0.44582 
     400      233    2.150e+00      3.60850      0.04064      0.02563      0.00259      0.01307      0.08597      0.09623      0.00774      0.01417      0.17698      0.32261      0.02708      0.04607      0.63580      0.89285      0.07587      0.16629      0.01750      0.00678      0.00234      0.00103      0.21969      0.15059      0.02590      0.01969      0.00157      0.00229      0.00000      0.00048      0.00347      0.00175      0.00000      0.00105      0.02250      0.03794      0.00805      0.00636      0.00048      0.00204      0.00000      0.00000      0.00054      0.00151      0.00000      0.00000      0.04399      0.03178      0.00563      0.00577      0.35817      3.07312      0.17721      2.82116      0.42917      3.25033      0.35817 
     400      250    2.150e+00      3.30626      0.02895      0.02813      0.01439      0.01631      0.04771      0.12053      0.01246      0.01660      0.18663      0.27229      0.02353      0.06453      0.45977      0.78983      0.08229      0.13966      0.02273      0.00899      0.01085      0.00865      0.19788      0.17789      0.02175      0.03229      0.00384      0.00402      0.00000      0.00028      0.00081      0.00112      0.00032      0.00000      0.02898      0.03104      0.01499      0.00565      0.00055      0.00032      0.00039      0.00000      0.00000      0.00963      0.00000      0.00000      0.04433      0.04733      0.00203      0.01236      0.31363      2.78463      0.20799      2.51330      0.47933      2.99263      0.31363 
     400      300    2.150e+00      1.97231      0.03918      0.03415      0.00842      0.00839      0.04700      0.07642      0.00978      0.01908      0.06136      0.09921      0.01155      0.02251      0.23774      0.52333      0.03414      0.07847      0.00816      0.01512      0.00202      0.00183      0.09478      0.18152      0.00883      0.02751      0.00033      0.00628      0.00000      0.00845      0.00000      0.00086      0.00000      0.00000      0.01593      0.02420      0.00030      0.00160      0.00076      0.00215      0.00000      0.00000      0.00098      0.00284      0.00048      0.00000      0.01185      0.03885      0.00259      0.00154      0.20181      1.65051      0.11999      1.52301      0.24750      1.77050      0.20181 
     400      315    2.150e+00      3.62492      0.02398      0.05535      0.00225      0.00736      0.04073      0.12656      0.00488      0.01329      0.13498      0.12836      0.02074      0.03862      0.43045      0.96151      0.06153      0.19642      0.02005      0.04312      0.00726      0.01164      0.23372      0.25991      0.03002      0.03848      0.00000      0.00121      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00609      0.04434      0.00176      0.00457      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.67573      2.89122      0.05797      2.51036      0.43883      2.94919      0.67573 
     450        1    1.110e+00      0.00048      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00039      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00009      0.00000      0.00000      0.00000      0.00000      0.00039      0.00009      0.00048      0.00000      0.00048      0.00000 
     450       50    1.110e+00      1.77559      0.01313      0.00073      0.00203      0.00000      0.06492      0.00125      0.01169      0.00025      0.12242      0.00069      0.01956      0.00000      0.49615      0.00446      0.07224      0.00036      0.08580      0.00000      0.01329      0.00000      0.45741      0.00628      0.04310      0.00000      0.00315      0.00470      0.00045      0.00269      0.00859      0.00073      0.00000      0.00000      0.20403      0.00000      0.01925      0.00000      0.00226      0.00000      0.00000      0.00000      0.00071      0.00000      0.00000      0.00000      0.06131      0.00000      0.00503      0.00000      0.04694      1.41575      0.31290      1.53872      0.18993      1.72865      0.04694 
     450      100    1.110e+00      3.77599      0.02206      0.00240      0.00715      0.00112      0.08186      0.00759      0.01038      0.00152      0.25868      0.04579      0.02775      0.01548      1.05786      0.12976      0.11076      0.01723      0.17454      0.02028      0.00874      0.00748      0.85811      0.10205      0.10832      0.01052      0.00301      0.00560      0.00227      0.00000      0.00903      0.02402      0.00187      0.00250      0.26428      0.02219      0.04872      0.00161      0.00108      0.00101      0.00040      0.00000      0.00167      0.00079      0.00000      0.00000      0.09435      0.00497      0.03109      0.00346      0.16468      3.08740      0.52392      3.19296      0.41835      3.61132      0.16468 
     450      150    1.110e+00      5.05838      0.03836      0.01608      0.00551      0.01081      0.15846      0.08452      0.01000      0.01469      0.27199      0.15993      0.05271      0.02972      1.18027      0.53052      0.14970      0.09579      0.18894      0.09871      0.01990      0.00612      0.74589      0.29692      0.11519      0.04625      0.00087      0.00198      0.00000      0.00066      0.00624      0.00174      0.00497      0.00029      0.11948      0.06114      0.01455      0.00472      0.00118      0.00067      0.00000      0.00020      0.00116      0.00179      0.00000      0.00000      0.08246      0.03204      0.00698      0.00763      0.38064      4.32698      0.35076      4.08135      0.59639      4.67774      0.38064 
     450      200    1.110e+00      5.41670      0.06210      0.05177      0.00593      0.00580      0.11303      0.11665      0.01994      0.01585      0.28763      0.30743      0.02970      0.04017      0.99645      1.00332      0.13350      0.13882      0.12902      0.10565      0.02343      0.00459      0.53302      0.34364      0.09861      0.05159      0.00148      0.00193      0.00000      0.00048      0.00000      0.00805      0.00560      0.00000      0.08584      0.11615      0.02033      0.01162      0.00092      0.00001      0.00021      0.00000      0.00113      0.00637      0.00037      0.00000      0.05349      0.06246      0.00432      0.01884      0.39949      4.61761      0.39959      4.38752      0.62969      5.01721      0.39949 
     450      250    1.110e+00      4.62448      0.02405      0.03450      0.00239      0.00367      0.06768      0.13854      0.00791      0.01054      0.23729      0.31549      0.03390      0.08022      0.75554      1.12828      0.09835      0.20509      0.04788      0.02919      0.01763      0.01011      0.33855      0.24604      0.05283      0.04436      0.00000      0.00277      0.00000      0.00000      0.00500      0.00170      0.00000      0.00000      0.06083      0.05712      0.00566      0.01565      0.00376      0.00866      0.00000      0.00000      0.00375      0.00348      0.00000      0.00000      0.04487      0.05352      0.00741      0.00842      0.41184      3.93005      0.28259      3.60848      0.60416      4.21264      0.41184 
     450      267    1.110e+00      4.51529      0.02482      0.06873      0.00158      0.00356      0.07047      0.07940      0.01047      0.01766      0.20855      0.36729      0.02900      0.07653      0.75878      1.06426      0.11158      0.20790      0.04697      0.05456      0.01044      0.00503      0.24618      0.25969      0.04654      0.05685      0.00000      0.00000      0.00000      0.00000      0.00157      0.00062      0.00391      0.00000      0.04691      0.06644      0.00500      0.00608      0.00009      0.00065      0.00000      0.00000      0.00139      0.00572      0.00080      0.00000      0.03881      0.05173      0.00621      0.00842      0.44409      3.82684      0.24436      3.46364      0.60756      4.07120      0.44409 
     450      283    1.110e+00      4.09552      0.03515      0.05565      0.00533      0.01126      0.09440      0.10206      0.01441      0.01456      0.18545      0.38471      0.03303      0.08100      0.54261      1.08269      0.08635      0.19785      0.04489      0.02097      0.00332      0.00223      0.20988      0.22948      0.04115      0.02605      0.00000      0.00406      0.00000      0.00072      0.00098      0.00666      0.00269      0.00042      0.05424      0.03803      0.00619      0.00266      0.00000      0.00266      0.00000      0.00000      0.00680      0.00211      0.00024      0.00063      0.02243      0.05377      0.00290      0.00380      0.37897      3.50452      0.21203      3.17973      0.53682      3.71654      0.37897 
     450      300    1.110e+00      3.84116      0.02848      0.06135      0.00320      0.00714      0.05930      0.11488      0.01447      0.01581      0.20453      0.32900      0.02190      0.05859      0.44448      0.97799      0.08831      0.19702      0.01794      0.02090      0.00230      0.00704      0.20631      0.28454      0.03893      0.05113      0.00052      0.00258      0.00000      0.00000      0.00000      0.00013      0.00032      0.00098      0.02804      0.03039      0.00444      0.00212      0.00000      0.00000      0.00000      0.00000      0.00000      0.01019      0.00000      0.00047      0.03666      0.06557      0.00824      0.00573      0.38924      3.25555      0.19638      2.92379      0.52814      3.45193      0.38924 
     450      350    1.110e+00      2.38175      0.01937      0.03152      0.00303      0.00272      0.04376      0.10918      0.01207      0.02412      0.06634      0.12852      0.01126      0.02638      0.21859      0.62838      0.03585      0.13666      0.01184      0.01649      0.01203      0.00635      0.16317      0.24799      0.02868      0.04177      0.00248      0.00110      0.00000      0.00000      0.00152      0.00070      0.00428      0.00001      0.02219      0.03518      0.00133      0.00205      0.00000      0.00033      0.00000      0.00000      0.01323      0.00202      0.00025      0.00088      0.02690      0.01781      0.00379      0.01042      0.20916      2.02611      0.14648      1.80863      0.36395      2.17258      0.20916 
     450      365    1.110e+00      4.19841      0.03311      0.05817      0.00627      0.02811      0.05334      0.12868      0.00720      0.02538      0.15863      0.19012      0.02077      0.04172      0.46723      1.01532      0.08735      0.22860      0.03835      0.06189      0.00230      0.01131      0.25848      0.40642      0.04774      0.07877      0.00000      0.00175      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.02524      0.02183      0.00191      0.00842      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.68400      3.45526      0.05915      2.91857      0.59585      3.51441      0.68400 
     500        1    6.090e-01      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000 
     500       50    6.090e-01      1.71394      0.02547      0.00000      0.00098      0.00000      0.03538      0.00034      0.01227      0.00036      0.06377      0.00000      0.00993      0.00000      0.39834      0.00529      0.04669      0.00408      0.09958      0.00000      0.01188      0.00000      0.54433      0.00073      0.06838      0.00295      0.00380      0.00000      0.00214      0.00000      0.01096      0.00000      0.00652      0.00000      0.21817      0.00076      0.02592      0.00004      0.00071      0.00000      0.00029      0.00000      0.00177      0.00000      0.00000      0.00000      0.05193      0.00000      0.01616      0.00000      0.04398      1.33077      0.33919      1.46135      0.20861      1.66996      0.04398 
     500      100    6.090e-01      3.54096      0.04181      0.00494      0.00270      0.00142      0.09392      0.00810      0.01411      0.00045      0.16867      0.02775      0.02129      0.00873      0.81504      0.07244      0.12521      0.02081      0.18319      0.03216      0.02741      0.00303      1.00609      0.12385      0.10775      0.00715      0.00128      0.00172      0.00172      0.00162      0.00650      0.00050      0.00208      0.00056      0.22850      0.04158      0.03040      0.00075      0.00615      0.00206      0.00046      0.00000      0.00054      0.00000      0.00000      0.00000      0.13873      0.00618      0.01240      0.00360      0.13562      2.91801      0.48733      3.01169      0.39365      3.40534      0.13562 
     500      150    6.090e-01      4.94900      0.05447      0.01325      0.01161      0.00012      0.09905      0.04609      0.00955      0.02048      0.21143      0.11340      0.03377      0.01656      0.92053      0.36413      0.13616      0.08060      0.19484      0.12485      0.03432      0.01205      1.10439      0.34097      0.17240      0.05629      0.00080      0.00208      0.00078      0.00045      0.00860      0.00417      0.00055      0.00053      0.17174      0.06691      0.01766      0.00317      0.00041      0.00000      0.00000      0.00000      0.00351      0.00150      0.00052      0.00000      0.10750      0.04022      0.00714      0.00579      0.33365      4.17132      0.44402      3.99484      0.62051      4.61535      0.33365 
     500      200    6.090e-01      5.93024      0.03722      0.03273      0.00202      0.00718      0.08478      0.09145      0.00967      0.02203      0.23186      0.19180      0.03455      0.03109      0.93071      0.92732      0.19917      0.12264      0.15515      0.14218      0.03125      0.04319      0.96246      0.56993      0.11966      0.06837      0.00139      0.00294      0.00052      0.00071      0.00072      0.01364      0.00000      0.00246      0.13458      0.05762      0.01134      0.00848      0.00075      0.00057      0.00000      0.00000      0.00750      0.00001      0.00000      0.00000      0.06661      0.03836      0.01032      0.01956      0.50375      5.04839      0.37809      4.68226      0.74423      5.42649      0.50375 
