# Percent efficiencies for sum of all SR bins, each SR bin, SR bin groups:
   msbot   mchi10    xsec (pb)      all SRs          SR1          SR2          SR3          SR4          SR5          SR6          SR7          SR8          SR9         SR10         SR11         SR12         SR13         SR14         SR15         SR16         SR17         SR18         SR19         SR20         SR21         SR22         SR23         SR24         SR25         SR26         SR27         SR28         SR29         SR30         SR31         SR32         SR33         SR34         SR35         SR36         SR37         SR38         SR39         SR40         SR41         SR42         SR43         SR44         SR45         SR46         SR47         SR48         SR49    hadronSRs    leptonSRs     shortSRs      longSRs      1DTkSRs  multiDTkSRs 
     400        1    2.150e+00      0.01647      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00364      0.00198      0.00063      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00210      0.00000      0.00000      0.00073      0.00098      0.00000      0.00000      0.00000      0.00000      0.00000      0.00069      0.00195      0.00206      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00112      0.00058      0.00000      0.00000      0.00000      0.00836      0.00811      0.01515      0.00132      0.01647      0.00000 
     400       50    2.150e+00      6.21926      0.00716      0.00000      0.00441      0.00000      0.25055      0.00423      0.10755      0.00115      0.03367      0.00136      0.01327      0.00000      1.72109      0.01628      0.62342      0.01674      0.01108      0.00000      0.00419      0.00000      0.63059      0.00730      0.23046      0.00212      0.00215      0.00000      0.00033      0.00000      0.01294      0.00000      0.00473      0.00000      0.23752      0.00361      0.06657      0.00119      0.01482      0.00000      0.00306      0.00000      0.01315      0.00000      0.00383      0.00000      0.37384      0.00137      0.12438      0.00258      1.66655      3.68663      0.86608      3.34272      1.20999      4.55271      1.66655 
     400      100    2.150e+00      4.31235      0.00557      0.00071      0.00764      0.00110      0.19616      0.01887      0.11086      0.01531      0.02504      0.00231      0.01374      0.00252      1.05599      0.08262      0.63118      0.10186      0.00840      0.00150      0.00261      0.00065      0.43067      0.02478      0.19214      0.02197      0.00130      0.00094      0.00183      0.00437      0.00708      0.00064      0.00404      0.00083      0.13999      0.00788      0.09176      0.00943      0.00629      0.00059      0.00114      0.00058      0.01163      0.00266      0.00842      0.00000      0.18589      0.00783      0.11701      0.02132      0.72470      2.95421      0.63344      2.22533      1.36232      3.58765      0.72470 
     400      150    2.150e+00      2.11304      0.00422      0.00181      0.00453      0.00000      0.06451      0.01100      0.06275      0.02656      0.00563      0.00203      0.00184      0.00684      0.44109      0.09998      0.35738      0.16234      0.00202      0.00166      0.00159      0.00000      0.14350      0.00856      0.08868      0.01141      0.00119      0.00000      0.00288      0.00238      0.00213      0.00097      0.00393      0.00105      0.05358      0.00877      0.05321      0.01452      0.00188      0.00085      0.00627      0.00153      0.00514      0.00133      0.00258      0.00294      0.11873      0.01897      0.06453      0.02259      0.21115      1.50994      0.39196      0.99957      0.90233      1.90189      0.21115 
     400      200    2.150e+00      0.57738      0.00000      0.00000      0.00380      0.00000      0.01124      0.00353      0.01453      0.01382      0.00448      0.00000      0.00126      0.00090      0.07406      0.03327      0.08159      0.06773      0.00177      0.00000      0.00098      0.00000      0.03618      0.00042      0.02955      0.00949      0.00167      0.00093      0.00507      0.00305      0.00181      0.00000      0.00135      0.00243      0.01725      0.00478      0.01285      0.00807      0.00102      0.00000      0.00089      0.00396      0.00632      0.00076      0.00270      0.00155      0.02643      0.00777      0.01965      0.02240      0.03608      0.38860      0.15270      0.23369      0.30761      0.54130      0.03608 
     400      217    2.150e+00      0.30769      0.00128      0.00000      0.00042      0.00000      0.00633      0.00306      0.00851      0.00373      0.00112      0.00000      0.00205      0.00030      0.03910      0.01150      0.03627      0.03665      0.00197      0.00000      0.00000      0.00000      0.01662      0.00529      0.01173      0.00747      0.00000      0.00000      0.00112      0.00098      0.00134      0.00155      0.00092      0.00278      0.01405      0.00220      0.01125      0.00531      0.00078      0.00000      0.00057      0.00215      0.00325      0.00069      0.00000      0.00097      0.00913      0.00439      0.00817      0.01419      0.02850      0.19340      0.08579      0.12366      0.15553      0.27919      0.02850 
     400      233    2.150e+00      0.53974      0.00499      0.00115      0.00800      0.00184      0.02366      0.00908      0.02478      0.02078      0.00424      0.00000      0.00160      0.00164      0.05844      0.02161      0.06727      0.05934      0.00086      0.00000      0.00332      0.00089      0.03456      0.00415      0.02334      0.01485      0.00357      0.00000      0.00157      0.00000      0.00000      0.00076      0.00046      0.00000      0.01763      0.00343      0.01109      0.00866      0.00330      0.00302      0.00201      0.00269      0.00277      0.00099      0.00093      0.00059      0.01557      0.00801      0.01500      0.01576      0.03151      0.39042      0.11782      0.22179      0.28644      0.50823      0.03151 
     400      250    2.150e+00      0.56933      0.00497      0.00054      0.00703      0.00455      0.02416      0.01427      0.02693      0.02722      0.00144      0.00000      0.00362      0.00065      0.05586      0.01904      0.06739      0.04755      0.00234      0.00000      0.00241      0.00054      0.04979      0.00907      0.02363      0.02034      0.00275      0.00000      0.00000      0.00000      0.00134      0.00000      0.00000      0.00000      0.01452      0.00390      0.00954      0.01431      0.00000      0.00385      0.00269      0.00244      0.00184      0.00021      0.00092      0.00043      0.02445      0.00523      0.01705      0.01648      0.03404      0.41333      0.12196      0.23957      0.29572      0.53529      0.03404 
     400      300    2.150e+00      0.36891      0.01300      0.00231      0.00667      0.00734      0.02572      0.01468      0.02663      0.03823      0.00016      0.00000      0.00000      0.00032      0.00695      0.00497      0.01396      0.00913      0.00224      0.00372      0.00559      0.00311      0.02171      0.00532      0.03355      0.02642      0.00000      0.00098      0.00079      0.00165      0.00000      0.00000      0.00000      0.00000      0.01206      0.00281      0.00618      0.00584      0.00567      0.00000      0.00146      0.00211      0.00000      0.00000      0.00000      0.00000      0.00912      0.00776      0.00856      0.00940      0.02282      0.27172      0.07437      0.13916      0.20693      0.34609      0.02282 
     400      315    2.150e+00      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000 
     450        1    1.110e+00      0.01049      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00049      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00084      0.00000      0.00080      0.00000      0.00000      0.00000      0.00000      0.00000      0.00440      0.00187      0.00097      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00113      0.00000      0.00000      0.00000      0.00000      0.00049      0.01000      0.00824      0.00225      0.01049      0.00000 
     450       50    1.110e+00      7.63855      0.01216      0.00000      0.00514      0.00000      0.25759      0.00202      0.08520      0.00196      0.04914      0.00000      0.01377      0.00000      1.78423      0.01131      0.56769      0.00811      0.03114      0.00107      0.00551      0.00000      1.29995      0.00885      0.41642      0.00403      0.00440      0.00000      0.00331      0.00000      0.00917      0.00000      0.00193      0.00000      0.28205      0.00344      0.06634      0.00000      0.01291      0.00000      0.00206      0.00000      0.01527      0.00062      0.00504      0.00000      0.43978      0.00621      0.12825      0.00286      2.08959      4.56530      0.98366      4.23133      1.31763      5.54896      2.08959 
     450      100    1.110e+00      6.35080      0.01545      0.00179      0.00993      0.00000      0.18302      0.01618      0.11991      0.01654      0.02681      0.00000      0.01674      0.00275      1.28457      0.06283      0.74096      0.06983      0.02086      0.00172      0.00866      0.00000      1.01350      0.02149      0.46782      0.03837      0.00084      0.00000      0.00408      0.00209      0.00471      0.00000      0.00484      0.00060      0.22225      0.00582      0.08170      0.00761      0.00692      0.00000      0.00184      0.00037      0.00437      0.00000      0.00549      0.00085      0.35285      0.01488      0.16749      0.01333      1.30816      4.13974      0.90291      3.26087      1.78178      5.04265      1.30816 
     450      150    1.110e+00      3.82179      0.00999      0.00070      0.00737      0.00000      0.10622      0.02373      0.10730      0.03195      0.02326      0.00108      0.01111      0.00505      0.72543      0.09555      0.56052      0.18959      0.00693      0.00000      0.00164      0.00143      0.45017      0.02678      0.30127      0.05197      0.00060      0.00000      0.00449      0.00154      0.00100      0.00000      0.00131      0.00120      0.11303      0.01914      0.07141      0.01940      0.00155      0.00156      0.00318      0.00152      0.00723      0.00196      0.00374      0.00182      0.16566      0.01384      0.10747      0.04205      0.49805      2.73905      0.58469      1.79540      1.52834      3.32374      0.49805 
     450      200    1.110e+00      1.96679      0.00879      0.00107      0.00549      0.00246      0.04948      0.01066      0.06518      0.03063      0.00398      0.00025      0.00363      0.00381      0.31078      0.09214      0.31163      0.21134      0.00805      0.00143      0.00132      0.00159      0.17904      0.01880      0.09692      0.02464      0.00000      0.00121      0.00074      0.00365      0.00278      0.00081      0.00227      0.00000      0.04464      0.01456      0.04106      0.01925      0.00110      0.00000      0.00189      0.00160      0.00457      0.00000      0.00158      0.00126      0.07116      0.02358      0.05580      0.04577      0.18440      1.44311      0.33928      0.84890      0.93349      1.78239      0.18440 
     450      250    1.110e+00      0.60087      0.00257      0.00000      0.00070      0.00142      0.01121      0.00279      0.00824      0.01783      0.00290      0.00000      0.00221      0.00320      0.07036      0.03281      0.08985      0.08092      0.00065      0.00000      0.00071      0.00000      0.02960      0.01518      0.02853      0.01750      0.00067      0.00000      0.00000      0.00000      0.00499      0.00000      0.00149      0.00443      0.00799      0.00827      0.01514      0.01712      0.00075      0.00000      0.00084      0.00308      0.00101      0.00000      0.00230      0.00267      0.01839      0.00747      0.02286      0.02321      0.03902      0.41917      0.14269      0.21759      0.34426      0.56185      0.03902 
     450      267    1.110e+00      0.35208      0.00000      0.00150      0.00000      0.00026      0.00688      0.00363      0.00365      0.01337      0.00144      0.00000      0.00511      0.00000      0.04046      0.01938      0.03609      0.04803      0.00089      0.00000      0.00052      0.00110      0.02252      0.00403      0.01964      0.01592      0.00101      0.00000      0.00135      0.00129      0.00238      0.00221      0.00052      0.00010      0.00867      0.00832      0.00773      0.01242      0.00054      0.00000      0.00104      0.00094      0.00000      0.00141      0.00164      0.00054      0.00615      0.00338      0.01038      0.01870      0.01695      0.24442      0.09071      0.13480      0.20033      0.33513      0.01695 
     450      283    1.110e+00      0.49235      0.00287      0.00078      0.00308      0.00176      0.01429      0.00547      0.01646      0.01638      0.00413      0.00124      0.00381      0.00000      0.05246      0.03705      0.06217      0.04721      0.00476      0.00063      0.00000      0.00000      0.03810      0.01292      0.02625      0.01541      0.00000      0.00000      0.00193      0.00107      0.00080      0.00000      0.00000      0.00127      0.01370      0.00231      0.01089      0.00847      0.00000      0.00000      0.00066      0.00452      0.00000      0.00193      0.00059      0.00243      0.02252      0.00746      0.01124      0.01315      0.02016      0.36724      0.10494      0.22343      0.24876      0.47219      0.02016 
     450      300    1.110e+00      0.57647      0.00436      0.00037      0.00263      0.00637      0.03996      0.01390      0.03052      0.04251      0.00444      0.00077      0.00555      0.00106      0.05993      0.02006      0.06926      0.05480      0.00486      0.00000      0.00062      0.00050      0.02948      0.01414      0.03585      0.01794      0.00173      0.00134      0.00159      0.00073      0.00000      0.00120      0.00075      0.00000      0.00996      0.00280      0.00994      0.00847      0.00158      0.00000      0.00160      0.00166      0.00000      0.00000      0.00083      0.00000      0.01136      0.00381      0.01467      0.01663      0.02595      0.45988      0.09065      0.22604      0.32448      0.55053      0.02595 
     450      350    1.110e+00      0.45472      0.00751      0.00420      0.01014      0.01097      0.02884      0.02023      0.02555      0.03888      0.00420      0.00000      0.00131      0.00000      0.01127      0.00426      0.00913      0.01683      0.00409      0.00287      0.00540      0.00333      0.04572      0.01309      0.03035      0.03148      0.00245      0.00082      0.00107      0.00294      0.00000      0.00000      0.00000      0.00000      0.01335      0.00337      0.00600      0.00779      0.00272      0.00081      0.00238      0.00000      0.00000      0.00000      0.00000      0.00000      0.01204      0.00413      0.00811      0.02166      0.03543      0.32966      0.08963      0.18597      0.23332      0.41929      0.03543 
